tipo_celular,module_size,ZNF566_MM,ZNF566_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.151,74.0,353,36,10.2,2.13 (1.81-2.44),317,89.8,4.16 (3.97-4.35),12.30,7.58
GABA neurons expressing GLU receptors 22,1069.0,0.123,20.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,1316.0,0.056,3.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,853.0,0.086,15.0,133,43,32.33,2.50 (2.17-2.84),90,67.67,3.72 (3.29-4.14),5.20,3.67
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,221.0,0.324,85.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2090.0,0.124,29.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60),3.24,12.34
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.052,17.0,276,29,10.51,1.78 (1.53-2.02),247,89.49,3.82 (3.60-4.05),6.78,4.91
oligodendrocytes 10,2107.0,0.053,6.0,358,44,12.29,2.26 (1.92-2.61),314,87.71,4.18 (3.98-4.37),17.47,8.35
connective tissue cells 21,78.0,0.394,91.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,96.0,0.175,22.0,102,8,7.84,1.22 (1.03-1.40),94,92.16,3.57 (3.24-3.90),4.87,7.90
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.357,87.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.12,62.0,238,11,4.62,2.39 (1.82-2.97),227,95.38,3.71 (3.48-3.93),6.99,4.93
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.086,44.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,1630.0,0.156,79.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
