tipo_celular,module_size,PLCG1_MM,PLCG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,727.0,0.178,76.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,932.0,0.109,50.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285.0,0.12,27.0,353,26,7.37,2.17 (1.43-2.92),327,92.63,4.06 (3.88-4.24),27.17,6.54
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.107,14.0,120,52,43.33,4.45 (3.99-4.92),68,56.67,4.74 (4.31-5.17),4.17,3.25
oligodendrocytes 20,295.0,0.291,82.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,2402.0,0.061,2.0,455,16,3.52,1.20 (0.58-1.82),439,96.48,4.48 (4.30-4.66),26.30,8.20
astrocytes 8,1266.0,0.073,40.0,66,15,22.73,2.07 (1.18-2.96),51,77.27,3.64 (3.23-4.05),3.60,2.76
oligodendrocyte progenitor cells 12,3303.0,0.082,55.0,276,21,7.61,2.56 (1.81-3.31),255,92.39,3.65 (3.43-3.87),9.43,4.75
oligodendrocytes 10,1277.0,0.081,32.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,111.0,0.35,71.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,367.0,0.172,70.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,65.0,0.242,71.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,132.0,0.305,47.0,1,0,0.0,NA,1,100.0,NA,NA,2.03
astrocytes 4,721.0,0.151,48.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078.0,0.091,11.0,238,3,1.26,1.58 (0.20-2.95),235,98.74,3.67 (3.45-3.89),9.09,4.97
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.038,2.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.13,26.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
