tipo_celular,module_size,NPHP1_MM,NPHP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.116,29.0,166,6,3.61,2.34 (0.56-4.11),160,96.39,3.43 (3.18-3.68),2.64,4.62
oligodendrocyte progenitor cells 7,4285.0,0.131,44.0,353,19,5.38,1.96 (1.38-2.53),334,94.62,4.03 (3.84-4.21),21.74,7.29
GABA neurons expressing GLU receptors 22,714.0,0.153,33.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,489.0,0.048,2.0,42,5,11.9,4.26 (4.16-4.36),37,88.1,6.26 (5.68-6.84),5.11,2.96
da like neurons 11,120.0,0.223,40.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.106,22.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68),1.37,8.67
astrocytes 8,218.0,0.045,18.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,3303.0,0.086,59.0,276,9,3.26,2.16 (1.24-3.07),267,96.74,3.60 (3.38-3.82),5.43,5.10
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,84.0,0.287,51.0,1,1,100.0,NA,0,0.0,NA,1.55,NA
astrocytes 15,1768.0,0.099,62.0,105,8,7.62,1.99 (1.12-2.85),97,92.38,3.32 (2.97-3.67),3.99,3.98
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,95.0,0.319,48.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56),NA,3.03
astrocytes 4,787.0,0.152,52.0,65,3,4.62,3.59 (2.14-5.04),62,95.38,2.94 (2.53-3.34),1.99,5.93
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
