tipo_celular,module_size,TULP3_MM,TULP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.108,48.0,80,1,1.25,NA,79,98.75,3.67 (3.26-4.08),1.32,4.34
oligodendrocyte progenitor cells 7,666.0,0.13,23.0,127,11,8.66,2.27 (1.67-2.87),116,91.34,4.06 (3.71-4.41),4.34,5.98
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,489.0,0.08,12.0,42,2,4.76,4.33 (4.33-4.33),40,95.24,6.11 (5.54-6.68),5.45,3.10
da like neurons 11,408.0,0.095,19.0,25,7,28.0,1.86 (0.60-3.12),18,72.0,6.10 (4.77-7.43),1.93,2.41
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.125,47.0,297,1,0.34,NA,296,99.66,3.67 (3.47-3.88),1.91,5.53
oligodendrocytes 20,298.0,0.055,19.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2090.0,0.101,14.0,74,11,14.86,2.10 (1.87-2.33),63,85.14,3.12 (2.68-3.55),3.37,11.74
astrocytes 8,260.0,0.176,78.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303.0,0.052,18.0,276,37,13.41,1.91 (1.67-2.16),239,86.59,3.88 (3.65-4.11),10.77,4.23
oligodendrocytes 10,1277.0,0.157,75.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,90.0,0.338,76.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA,1.41,NA
astrocytes 15,1401.0,0.113,73.0,96,6,6.25,2.64 (1.46-3.82),90,93.75,3.69 (3.22-4.17),4.53,3.75
oligodendrocytes 16,87.0,0.17,41.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,111.0,0.294,35.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.154,55.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,1186.0,0.13,28.0,300,9,3.0,3.67 (3.05-4.29),291,97.0,3.80 (3.59-4.01),4.25,4.15
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.096,51.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921.0,0.157,81.0,200,3,1.5,2.48 (0.82-4.13),197,98.5,3.64 (3.37-3.91),3.51,3.46
