tipo_celular,module_size,FRG1_MM,FRG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.085,2.0,164,1,0.61,5.16 (NA-NA),163,99.39,4.08 (3.75-4.40),3.86,7.55
GABA neurons expressing GLU receptors 22,599.0,0.118,9.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.202,49.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22),5.10,10.67
oligodendrocytes 20,938.0,0.154,64.0,169,6,3.55,2.35 (0.70-3.99),163,96.45,3.53 (3.32-3.75),5.83,5.35
GABA like neurons 14,2402.0,0.234,52.0,455,36,7.91,2.08 (1.64-2.52),419,92.09,4.61 (4.43-4.79),18.60,8.00
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.135,71.0,235,9,3.83,3.39 (2.92-3.86),226,96.17,3.84 (3.60-4.08),6.64,7.65
oligodendrocytes 10,483.0,0.082,32.0,129,1,0.78,5.16 (NA-NA),128,99.22,3.41 (3.02-3.80),3.80,19.31
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,90.0,0.231,71.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,78.0,0.448,98.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54),NA,4.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.105,14.0,252,22,8.73,1.63 (1.08-2.17),230,91.27,4.41 (4.18-4.65),11.28,7.92
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.064,11.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.168,20.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
