tipo_celular,module_size,RASA3_MM,RASA3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.094,8.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,518.0,0.182,67.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,322.0,0.153,42.0,58,4,6.9,2.00 (1.20-2.79),54,93.1,4.37 (3.95-4.78),2.19,2.33
oligodendrocyte progenitor cells 7,4285.0,0.153,77.0,353,6,1.7,2.54 (0.65-4.44),347,98.3,3.92 (3.73-4.10),30.15,7.68
GABA neurons expressing GLU receptors 22,703.0,0.085,5.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,1247.0,0.144,58.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.113,36.0,133,2,1.5,1.86 (-1.39-5.11),131,98.5,3.28 (2.97-3.59),5.06,4.15
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.164,47.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27),NA,3.13
GABA like neurons 14,2090.0,0.166,58.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,218.0,0.116,57.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,218.0,0.069,25.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,2107.0,0.187,65.0,358,12,3.35,2.60 (1.42-3.77),346,96.65,3.92 (3.73-4.11),15.67,9.26
connective tissue cells 21,102.0,0.282,48.0,5,0,0.0,NA,5,100.0,1.38 (1.02-1.75),NA,1.41
astrocytes 15,1401.0,0.181,94.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,88.0,0.201,56.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,157.0,0.201,1.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.144,23.0,95,6,6.32,2.64 (0.76-4.53),89,93.68,3.43 (3.01-3.86),2.75,4.77
oligodendrocytes 0,2078.0,0.127,76.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87),13.66,4.99
microglia 1,480.0,0.162,36.0,163,6,3.68,3.42 (2.04-4.81),157,96.32,3.72 (3.45-3.99),4.07,5.21
oligodendrocytes 3,1003.0,0.083,36.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.122,17.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
