tipo_celular,module_size,NDFIP2_MM,NDFIP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.134,48.0,353,54,15.3,2.58 (2.21-2.94),299,84.7,4.22 (4.02-4.41),17.09,6.43
GABA neurons expressing GLU receptors 22,400.0,0.173,34.0,24,15,62.5,1.95 (1.25-2.64),9,37.5,2.51 (1.80-3.22),3.92,3.02
GLU like neurons 17,795.0,0.06,5.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,71.0,0.087,16.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,266.0,0.139,37.0,118,1,0.85,3.76 (NA-NA),117,99.15,4.75 (4.39-5.10),1.78,4.01
endothelial cells 9,1653.0,0.072,8.0,297,4,1.35,4.57 (3.62-5.52),293,98.65,3.66 (3.45-3.86),13.96,5.40
oligodendrocytes 20,295.0,0.165,40.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,2402.0,0.132,18.0,455,46,10.11,3.31 (2.73-3.88),409,89.89,4.50 (4.31-4.69),16.23,8.00
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.044,10.0,276,45,16.3,2.67 (2.32-3.03),231,83.7,3.78 (3.53-4.03),7.81,4.58
oligodendrocytes 10,735.0,0.083,40.0,277,5,1.81,5.96 (5.24-6.68),272,98.19,3.84 (3.60-4.08),2.62,9.06
connective tissue cells 21,145.0,0.373,87.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,84.0,0.14,21.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,448.0,0.103,53.0,43,4,9.3,3.79 (3.71-3.88),39,90.7,3.21 (2.63-3.80),3.42,3.48
astrocytes microglia 23,101.0,0.297,43.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.142,95.0,238,16,6.72,3.31 (2.69-3.93),222,93.28,3.66 (3.43-3.90),5.23,5.01
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.096,51.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,921.0,0.134,44.0,200,9,4.5,3.10 (2.29-3.91),191,95.5,3.65 (3.38-3.93),4.11,3.43
