tipo_celular,module_size,SCN3A_MM,SCN3A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,436.0,0.109,35.0,219,33,15.07,4.18 (3.76-4.61),186,84.93,5.45 (5.13-5.78),3.25,4.85
GABA neurons expressing GLU receptors 22,459.0,0.091,15.0,165,31,18.79,3.96 (3.64-4.29),134,81.21,5.42 (5.00-5.84),3.34,4.26
GLU like neurons 17,795.0,0.157,64.0,80,11,13.75,4.60 (3.44-5.76),69,86.25,5.89 (5.47-6.31),2.87,3.04
da like neurons 11,132.0,0.373,79.0,12,10,83.33,4.14 (3.37-4.92),2,16.67,5.90 (NA-NA),2.15,1.95
GABA neurons expressing GABA receptors 13,265.0,0.256,85.0,78,7,8.97,3.28 (2.41-4.14),71,91.03,4.50 (4.06-4.94),4.13,4.28
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.088,7.0,306,41,13.4,3.68 (3.22-4.14),265,86.6,5.40 (5.12-5.69),3.57,7.19
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,254.0,0.402,84.0,37,2,5.41,2.53 (2.34-2.73),35,94.59,4.63 (4.04-5.22),2.15,2.49
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.197,96.0,122,16,13.11,3.06 (2.16-3.96),106,86.89,4.17 (3.74-4.59),3.86,3.43
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
