tipo_celular,module_size,RYR3_MM,RYR3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,117.0,0.171,63.0,28,1,3.57,2.43 (NA-NA),27,96.43,5.43 (4.87-5.98),1.95,2.43
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,599.0,0.303,86.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,489.0,0.529,100.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,191.0,0.352,66.0,93,13,13.98,4.01 (3.33-4.69),80,86.02,6.02 (5.61-6.44),3.58,4.23
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.205,50.0,306,40,13.07,3.14 (2.70-3.57),266,86.93,5.56 (5.30-5.83),4.08,7.10
astrocytes 8,1266.0,0.435,100.0,66,13,19.7,1.18 (0.77-1.60),53,80.3,3.83 (3.46-4.20),3.40,2.84
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,250.0,0.495,77.0,117,6,5.13,2.04 (1.62-2.47),111,94.87,5.63 (5.25-6.00),4.53,3.70
astrocytes 15,418.0,0.106,50.0,54,15,27.78,2.93 (2.51-3.35),39,72.22,3.99 (3.43-4.56),3.36,2.88
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,141.0,0.243,51.0,30,3,10.0,1.82 (1.65-1.99),27,90.0,6.27 (5.57-6.97),1.65,4.31
astrocytes 4,201.0,0.277,91.0,18,2,11.11,2.53 (2.34-2.73),16,88.89,4.82 (3.91-5.74),1.69,3.27
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
