tipo_celular,module_size,ARL14EP_MM,ARL14EP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.363,100.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,393.0,0.083,6.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.131,43.0,353,18,5.1,1.74 (1.15-2.33),335,94.9,4.04 (3.86-4.22),39.87,6.35
GABA neurons expressing GLU receptors 22,400.0,0.194,48.0,24,7,29.17,0.94 (0.08-1.80),17,70.83,2.66 (2.20-3.11),6.35,2.44
GLU like neurons 17,1316.0,0.183,89.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,168.0,0.081,16.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,338.0,0.051,2.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.168,30.0,455,16,3.52,1.62 (0.91-2.33),439,96.48,4.46 (4.28-4.64),27.00,8.17
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.034,4.0,276,10,3.62,2.03 (1.48-2.58),266,96.38,3.62 (3.39-3.84),21.08,4.51
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,84.0,0.454,97.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.054,2.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,63.0,0.454,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,958.0,0.082,9.0,290,2,0.69,1.57 (1.57-1.57),288,99.31,3.83 (3.60-4.06),5.73,5.00
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
