tipo_celular,module_size,ADD3_MM,ADD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,506.0,0.082,6.0,225,20,8.89,3.49 (2.54-4.43),205,91.11,3.62 (3.37-3.88),6.85,8.01
astrocytes 5,118.0,0.222,53.0,8,2,25.0,7.13 (4.87-9.39),6,75.0,3.19 (1.61-4.78),1.54,2.16
oligodendrocyte progenitor cells 7,436.0,0.152,65.0,219,15,6.85,5.99 (5.48-6.51),204,93.15,5.17 (4.87-5.47),7.29,4.41
GABA neurons expressing GLU receptors 22,599.0,0.263,74.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,637.0,0.1,21.0,91,23,25.27,3.01 (2.10-3.91),68,74.73,5.19 (4.64-5.73),3.76,2.82
da like neurons 11,172.0,0.211,45.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,288.0,0.227,68.0,93,16,17.2,3.29 (2.18-4.40),77,82.8,5.52 (5.02-6.03),3.15,4.12
endothelial cells 9,586.0,0.15,34.0,62,4,6.45,5.87 (5.71-6.03),58,93.55,3.90 (3.44-4.36),2.05,4.36
oligodendrocytes 20,676.0,0.259,49.0,110,24,21.82,4.13 (3.13-5.13),86,78.18,5.23 (4.74-5.72),3.70,3.48
GABA like neurons 14,1300.0,0.137,19.0,306,38,12.42,3.77 (3.03-4.50),268,87.58,5.31 (5.04-5.58),8.49,6.45
astrocytes 8,279.0,0.268,45.0,78,3,3.85,2.53 (2.42-2.65),75,96.15,4.40 (3.98-4.82),3.97,2.66
oligodendrocyte progenitor cells 12,708.0,0.212,76.0,32,8,25.0,1.67 (0.81-2.52),24,75.0,3.88 (2.92-4.83),3.61,2.26
oligodendrocytes 10,130.0,0.603,93.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,114.0,0.284,67.0,19,0,0.0,NA,19,100.0,4.90 (4.18-5.61),NA,2.12
astrocytes 15,208.0,0.416,79.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,153.0,0.282,26.0,14,1,7.14,3.79 (NA-NA),13,92.86,4.74 (3.97-5.52),2.08,2.95
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,141.0,0.28,65.0,30,2,6.67,1.74 (1.73-1.75),28,93.33,6.06 (5.27-6.84),1.74,4.21
astrocytes 4,220.0,0.109,14.0,63,7,11.11,5.52 (3.58-7.47),56,88.89,5.09 (4.50-5.68),2.99,3.33
oligodendrocytes 0,187.0,0.201,63.0,14,1,7.14,5.34 (NA-NA),13,92.86,5.54 (4.88-6.21),1.73,2.55
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,44.0,0.257,52.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,348.0,0.317,85.0,114,18,15.79,5.19 (4.31-6.08),96,84.21,5.10 (4.64-5.56),3.15,4.63
