tipo_celular,module_size,TTC7B_MM,TTC7B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.214,80.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.141,86.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285.0,0.145,66.0,353,21,5.95,3.14 (2.22-4.06),332,94.05,3.95 (3.77-4.14),18.16,7.43
GABA neurons expressing GLU receptors 22,459.0,0.1,22.0,165,2,1.21,2.53 (2.34-2.73),163,98.79,5.11 (4.76-5.46),5.52,4.07
GLU like neurons 17,1316.0,0.112,40.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,172.0,0.092,8.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,288.0,0.209,65.0,93,3,3.23,4.45 (0.69-8.21),90,96.77,5.18 (4.68-5.67),2.35,4.00
endothelial cells 9,1653.0,0.158,72.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,221.0,0.218,57.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,1300.0,0.253,71.0,306,11,3.59,3.46 (1.88-5.03),295,96.41,5.18 (4.92-5.44),3.33,6.83
astrocytes 8,1266.0,0.107,71.0,66,4,6.06,1.67 (0.26-3.08),62,93.94,3.34 (2.92-3.77),4.43,2.86
oligodendrocyte progenitor cells 12,3303.0,0.115,86.0,276,17,6.16,3.75 (2.76-4.74),259,93.84,3.52 (3.30-3.74),7.15,4.98
oligodendrocytes 10,2107.0,0.12,39.0,358,14,3.91,2.12 (1.24-3.01),344,96.09,3.96 (3.77-4.15),21.95,8.96
connective tissue cells 21,112.0,0.156,13.0,7,0,0.0,NA,7,100.0,1.95 (1.17-2.73),NA,1.93
astrocytes 15,1401.0,0.13,82.0,96,2,2.08,2.86 (1.17-4.54),94,97.92,3.63 (3.17-4.09),3.60,3.80
oligodendrocytes 16,108.0,0.124,12.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00),NA,2.53
da neurons 6,448.0,0.135,77.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,70.0,0.196,11.0,76,0,0.0,NA,76,100.0,4.20 (3.69-4.72),NA,4.53
astrocytes 4,514.0,0.15,28.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,1186.0,0.147,54.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,480.0,0.158,34.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,1003.0,0.102,57.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804.0,0.151,51.0,84,3,3.57,0.66 (0.21-1.11),81,96.43,2.78 (2.45-3.12),3.23,3.40
