tipo_celular,module_size,PID1_MM,PID1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,156.0,0.147,51.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,436.0,0.136,54.0,219,11,5.02,4.57 (3.83-5.31),208,94.98,5.26 (4.96-5.57),4.07,4.64
GABA neurons expressing GLU receptors 22,714.0,0.406,98.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,795.0,0.2,76.0,80,1,1.25,5.15 (NA-NA),79,98.75,5.69 (5.27-6.11),1.55,3.03
da like neurons 11,59.0,0.552,99.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.495,90.0,62,1,1.61,5.98 (NA-NA),61,98.39,4.01 (3.56-4.46),1.81,4.25
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.195,45.0,306,37,12.09,3.43 (2.80-4.05),269,87.91,5.46 (5.20-5.72),4.79,6.97
astrocytes 8,140.0,0.064,27.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,411.0,0.299,72.0,103,3,2.91,4.97 (4.53-5.41),100,97.09,5.57 (5.17-5.97),2.38,3.11
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,114.0,0.331,77.0,19,6,31.58,3.52 (2.78-4.27),13,68.42,5.65 (4.94-6.35),1.75,2.29
astrocytes 15,1768.0,0.075,38.0,105,18,17.14,1.84 (1.38-2.30),87,82.86,3.53 (3.16-3.89),4.49,3.87
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228.0,0.128,73.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,255.0,0.173,4.0,57,8,14.04,2.96 (2.54-3.38),49,85.96,2.59 (2.18-3.01),3.08,3.37
astrocytes 4,752.0,0.141,32.0,96,15,15.62,2.95 (2.61-3.29),81,84.38,3.37 (2.97-3.77),2.66,4.63
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
