tipo_celular,module_size,RAB40C_MM,RAB40C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.077,4.0,15,1,6.67,4.26 (NA-NA),14,93.33,5.94 (5.25-6.64),4.48,2.18
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.149,90.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.115,22.0,353,18,5.1,1.85 (1.25-2.45),335,94.9,4.03 (3.85-4.22),28.49,6.97
GABA neurons expressing GLU receptors 22,1069.0,0.189,68.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247.0,0.239,93.0,51,2,3.92,2.00 (NA-NA),49,96.08,3.66 (3.08-4.25),2.39,3.27
da like neurons 11,215.0,0.19,51.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,253.0,0.078,19.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2090.0,0.282,97.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,1266.0,0.093,62.0,66,9,13.64,0.91 (0.48-1.33),57,86.36,3.66 (3.28-4.04),3.62,2.85
oligodendrocyte progenitor cells 12,1049.0,0.028,2.0,235,6,2.55,3.32 (1.93-4.71),229,97.45,3.84 (3.60-4.07),3.92,7.71
oligodendrocytes 10,130.0,0.019,1.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,93.0,0.303,61.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,1401.0,0.06,26.0,96,4,4.17,2.21 (1.21-3.21),92,95.83,3.69 (3.22-4.15),5.92,3.70
oligodendrocytes 16,155.0,0.355,97.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,92.0,0.287,33.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91),NA,1.89
astrocytes 4,1807.0,0.118,11.0,104,6,5.77,2.24 (1.05-3.43),98,94.23,2.90 (2.61-3.19),12.02,4.99
oligodendrocytes 0,2078.0,0.09,10.0,238,4,1.68,2.01 (0.72-3.30),234,98.32,3.67 (3.45-3.89),7.36,4.98
microglia 1,1615.0,0.058,1.0,161,10,6.21,1.17 (0.45-1.88),151,93.79,3.45 (3.18-3.71),14.26,4.85
oligodendrocytes 3,854.0,0.047,4.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,407.0,0.133,25.0,122,11,9.02,1.70 (0.86-2.54),111,90.98,3.54 (3.14-3.94),3.26,2.65
