tipo_celular,module_size,ADH5_MM,ADH5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,477.0,0.099,9.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.132,27.0,164,4,2.44,4.23 (3.94-4.52),160,97.56,4.08 (3.75-4.42),5.90,7.57
GABA neurons expressing GLU receptors 22,848.0,0.283,73.0,262,11,4.2,2.24 (0.98-3.49),251,95.8,4.23 (3.99-4.48),11.04,3.80
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.117,23.0,410,12,2.93,3.31 (2.34-4.28),398,97.07,4.27 (4.08-4.46),20.11,7.14
GABA neurons expressing GABA receptors 13,266.0,0.086,4.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,916.0,0.129,24.0,302,8,2.65,4.35 (2.57-6.13),294,97.35,3.97 (3.74-4.20),10.33,10.66
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.3,66.0,455,17,3.74,1.97 (1.01-2.93),438,96.26,4.43 (4.25-4.61),27.71,8.10
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.054,19.0,235,9,3.83,3.97 (3.42-4.52),226,96.17,3.82 (3.58-4.06),13.10,7.40
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,116.0,0.277,44.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.073,12.0,235,18,7.66,3.92 (3.12-4.72),217,92.34,3.98 (3.72-4.24),4.44,4.41
astrocytes microglia 23,121.0,0.321,58.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
