tipo_celular,module_size,OBSL1_MM,OBSL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.117,51.0,136,1,0.74,3.31 (NA-NA),135,99.26,3.21 (2.93-3.48),2.54,5.01
oligodendrocyte progenitor cells 7,4285.0,0.112,19.0,353,37,10.48,2.47 (1.96-2.98),316,89.52,4.10 (3.91-4.29),18.80,6.81
GABA neurons expressing GLU receptors 22,848.0,0.105,7.0,262,30,11.45,4.76 (3.90-5.63),232,88.55,4.05 (3.80-4.29),4.99,3.99
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,67.0,0.213,75.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08),NA,23.87
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.218,47.0,455,20,4.4,2.38 (1.62-3.14),435,95.6,4.47 (4.28-4.65),26.13,8.04
astrocytes 8,603.0,0.093,61.0,89,1,1.12,4.70 (NA-NA),88,98.88,2.73 (2.38-3.08),1.73,6.09
oligodendrocyte progenitor cells 12,411.0,0.035,8.0,103,15,14.56,5.91 (4.77-7.05),88,85.44,5.47 (5.07-5.87),4.05,2.92
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,101.0,0.223,15.0,116,13,11.21,3.63 (2.90-4.36),103,88.79,4.79 (4.33-5.26),3.18,3.22
astrocytes 15,338.0,0.166,61.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.108,27.0,182,4,2.2,2.22 (1.48-2.95),178,97.8,3.68 (3.42-3.93),4.19,8.62
astrocytes microglia 23,57.0,0.331,58.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.133,29.0,104,10,9.62,2.25 (1.26-3.24),94,90.38,2.93 (2.64-3.22),9.74,4.94
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
