tipo_celular,module_size,ZFPM2_MM,ZFPM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.152,78.0,166,41,24.7,2.39 (2.04-2.74),125,75.3,3.82 (3.53-4.11),5.74,4.16
oligodendrocyte progenitor cells 7,666.0,0.118,15.0,127,5,3.94,1.31 (0.80-1.82),122,96.06,3.99 (3.66-4.32),5.44,5.85
GABA neurons expressing GLU receptors 22,459.0,0.269,84.0,165,10,6.06,2.73 (1.77-3.69),155,93.94,5.29 (4.95-5.63),4.50,4.06
GLU like neurons 17,795.0,0.49,100.0,80,2,2.5,6.32 (2.49-10.16),78,97.5,5.66 (5.24-6.07),2.51,3.03
da like neurons 11,197.0,0.147,30.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,200.0,0.136,38.0,34,2,5.88,3.66 (3.64-3.69),32,94.12,3.91 (2.95-4.87),1.69,3.60
endothelial cells 9,1653.0,0.208,92.0,297,4,1.35,4.12 (2.08-6.16),293,98.65,3.67 (3.46-3.87),7.91,5.49
oligodendrocytes 20,228.0,0.645,100.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51),1.78,3.49
GABA like neurons 14,1300.0,0.083,6.0,306,20,6.54,3.53 (2.48-4.58),286,93.46,5.26 (5.00-5.52),6.43,6.73
astrocytes 8,727.0,0.149,73.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,411.0,0.362,83.0,103,4,3.88,3.48 (2.29-4.67),99,96.12,5.66 (5.27-6.04),3.17,3.08
oligodendrocytes 10,1277.0,0.142,70.0,27,2,7.41,7.31 (5.40-9.21),25,92.59,5.17 (4.28-6.06),2.22,6.71
connective tissue cells 21,82.0,0.245,30.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,261.0,0.175,65.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64),1.77,1.85
oligodendrocytes 16,149.0,0.305,78.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,255.0,0.185,8.0,57,4,7.02,2.80 (2.10-3.51),53,92.98,2.64 (2.25-3.03),1.92,3.44
astrocytes 4,752.0,0.167,69.0,96,16,16.67,2.75 (2.36-3.14),80,83.33,3.43 (3.03-3.83),2.66,4.65
oligodendrocytes 0,1186.0,0.186,96.0,300,14,4.67,3.40 (2.97-3.83),286,95.33,3.82 (3.60-4.03),5.86,4.07
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.132,77.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,1630.0,0.066,0.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
