tipo_celular,module_size,SELENOI_MM,SELENOI_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.118,23.0,97,5,5.15,3.52 (3.03-4.01),92,94.85,3.02 (2.61-3.44),4.82,4.91
T cells 18,518,0.152,48.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1656,0.137,83.0,136,8,5.88,3.35 (2.67-4.03),128,94.12,3.20 (2.91-3.48),4.34,5.03
oligodendrocyte progenitor cells 7,4285,0.171,94.0,353,23,6.52,2.49 (1.62-3.36),330,93.48,4.01 (3.83-4.19),26.17,6.80
GABA neurons expressing GLU receptors 22,823,0.152,32.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,380,0.2,71.0,39,2,5.13,2.67 (0.85-4.49),37,94.87,2.98 (2.40-3.56),2.28,2.59
da like neurons 11,61,0.12,20.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA),NA,2.54
GABA neurons expressing GABA receptors 13,357,0.097,13.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64),NA,4.18
endothelial cells 9,412,0.101,17.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20),NA,6.82
oligodendrocytes 20,250,0.177,51.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402,0.155,26.0,455,18,3.96,2.03 (1.33-2.72),437,96.04,4.48 (4.29-4.66),25.71,8.14
astrocytes 8,520,0.049,12.0,288,8,2.78,2.86 (2.20-3.52),280,97.22,4.22 (4.02-4.42),5.94,4.65
oligodendrocyte progenitor cells 12,3303,0.1,75.0,276,17,6.16,3.72 (2.89-4.56),259,93.84,3.53 (3.30-3.75),7.24,4.97
oligodendrocytes 10,2107,0.088,22.0,358,15,4.19,1.63 (0.80-2.46),343,95.81,3.99 (3.81-4.18),32.63,8.46
connective tissue cells 21,116,0.359,82.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,367,0.056,14.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,65,0.096,0.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518,0.085,22.0,122,14,11.48,2.09 (1.32-2.85),108,88.52,4.32 (3.92-4.73),6.50,3.09
astrocytes microglia 23,161,0.339,74.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,1807,0.157,73.0,104,14,13.46,2.40 (1.62-3.17),90,86.54,2.93 (2.63-3.24),10.05,4.67
oligodendrocytes 0,2078,0.133,87.0,238,4,1.68,2.18 (0.85-3.51),234,98.32,3.67 (3.44-3.89),8.07,4.97
microglia 1,813,0.1,28.0,79,8,10.13,3.26 (2.60-3.91),71,89.87,3.08 (2.64-3.53),3.31,8.42
oligodendrocytes 3,743,0.1,72.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54),6.14,7.37
oligodendrocytes 2,921,0.142,59.0,200,3,1.5,1.77 (1.25-2.29),197,98.5,3.66 (3.39-3.92),2.90,3.47
