tipo_celular,module_size,CNTNAP1_MM,CNTNAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.177,52.0,58,13,22.41,3.52 (2.64-4.39),45,77.59,4.41 (3.94-4.88),2.11,2.38
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,714.0,0.203,61.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,1316.0,0.102,30.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41),2.05,3.06
da like neurons 11,853.0,0.232,91.0,133,6,4.51,2.61 (1.18-4.03),127,95.49,3.28 (2.96-3.61),2.18,4.26
GABA neurons expressing GABA receptors 13,73.0,0.223,87.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17),NA,9.28
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.26,58.0,455,8,1.76,2.77 (1.94-3.60),447,98.24,4.38 (4.19-4.56),15.69,8.71
astrocytes 8,520.0,0.086,35.0,288,15,5.21,3.35 (2.36-4.34),273,94.79,4.22 (4.02-4.42),6.29,4.60
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.211,97.0,96,8,8.33,3.48 (2.80-4.16),88,91.67,3.63 (3.13-4.12),3.68,3.81
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.093,31.0,122,22,18.03,4.57 (3.38-5.75),100,81.97,3.83 (3.45-4.21),3.89,3.39
astrocytes microglia 23,161.0,0.358,78.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,171.0,0.145,30.0,22,2,9.09,4.44 (0.72-8.15),20,90.91,4.56 (3.57-5.54),2.08,2.01
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
