tipo_celular,module_size,NOL8_MM,NOL8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.169,54.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,518.0,0.077,3.0,131,1,0.76,2.04 (NA-NA),130,99.24,3.08 (2.81-3.36),1.74,4.78
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,685.0,0.039,2.0,135,17,12.59,1.84 (1.34-2.34),118,87.41,3.43 (3.10-3.75),4.71,3.61
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.056,2.0,297,1,0.34,2.04 (NA-NA),296,99.66,3.68 (3.48-3.88),5.84,5.52
oligodendrocytes 20,403.0,0.028,4.0,18,9,50.0,1.22 (0.50-1.93),9,50.0,2.54 (1.52-3.55),5.06,2.52
GABA like neurons 14,3052.0,0.117,31.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.089,22.0,358,40,11.17,1.86 (1.51-2.21),318,88.83,4.21 (4.02-4.39),29.27,6.98
connective tissue cells 21,104.0,0.366,85.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09),NA,1.73
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,75.0,0.398,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,61.0,0.224,9.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.113,48.0,238,5,2.1,1.76 (0.88-2.65),233,97.9,3.68 (3.46-3.91),13.03,4.85
microglia 1,813.0,0.108,41.0,79,5,6.33,5.56 (4.50-6.61),74,93.67,2.92 (2.53-3.31),2.86,8.24
oligodendrocytes 3,357.0,0.128,71.0,127,3,2.36,3.80 (2.84-4.76),124,97.64,3.10 (2.76-3.44),4.53,4.23
oligodendrocytes 2,1630.0,0.165,90.0,154,4,2.6,5.22 (4.15-6.29),150,97.4,3.18 (2.92-3.45),2.66,3.62
