tipo_celular,module_size,MPP6_MM,MPP6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,727.0,0.104,20.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1141.0,0.165,88.0,166,4,2.41,1.62 (0.21-3.04),162,97.59,3.44 (3.19-3.70),3.14,4.58
oligodendrocyte progenitor cells 7,666.0,0.211,76.0,127,8,6.3,4.21 (3.51-4.91),119,93.7,3.81 (3.46-4.17),3.86,5.97
GABA neurons expressing GLU receptors 22,599.0,0.323,90.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,685.0,0.137,55.0,135,7,5.19,1.68 (0.14-3.21),128,94.81,3.23 (2.92-3.54),5.59,3.65
da like neurons 11,140.0,0.283,69.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,238.0,0.213,72.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.175,79.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,283.0,0.253,94.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.075,46.0,276,4,1.45,2.06 (0.98-3.13),272,98.55,3.57 (3.35-3.79),7.18,5.08
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,183.0,0.56,97.0,32,0,0.0,NA,32,100.0,5.12 (4.48-5.76),NA,2.67
astrocytes 15,1768.0,0.104,67.0,105,5,4.76,1.23 (0.54-1.93),100,95.24,3.32 (2.98-3.66),4.55,3.95
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,109.0,0.301,41.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,255.0,0.139,23.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
