tipo_celular,module_size,CNDP2_MM,CNDP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.191,45.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,610.0,0.298,100.0,98,19,19.39,1.55 (1.02-2.08),79,80.61,3.55 (3.25-3.86),9.67,2.68
astrocytes 5,1656.0,0.137,83.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49),3.73,5.01
oligodendrocyte progenitor cells 7,4285.0,0.144,64.0,353,21,5.95,1.69 (1.17-2.20),332,94.05,4.07 (3.89-4.25),42.18,5.91
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,75.0,0.108,10.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,559.0,0.177,57.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,279.0,0.09,11.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,2402.0,0.264,59.0,455,24,5.27,1.87 (1.28-2.45),431,94.73,4.50 (4.32-4.68),26.12,7.87
astrocytes 8,140.0,0.083,38.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,3303.0,0.06,27.0,276,13,4.71,2.20 (1.67-2.74),263,95.29,3.63 (3.41-3.85),22.00,4.28
oligodendrocytes 10,483.0,0.086,35.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81),8.17,19.36
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.11,71.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,90.0,0.173,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.103,52.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,39.0,0.306,40.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.148,56.0,104,14,13.46,1.85 (1.29-2.41),90,86.54,3.04 (2.73-3.34),16.79,3.63
oligodendrocytes 0,613.0,0.153,59.0,127,3,2.36,2.54 (0.99-4.09),124,97.64,3.07 (2.64-3.50),6.85,6.26
microglia 1,958.0,0.118,61.0,290,2,0.69,2.73 (1.22-4.24),288,99.31,3.82 (3.59-4.05),8.07,4.98
oligodendrocytes 3,743.0,0.111,80.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528.0,0.231,65.0,175,7,4.0,3.80 (3.17-4.43),168,96.0,4.39 (4.04-4.75),19.41,4.00
