tipo_celular,module_size,NDRG2_MM,NDRG2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.228,65.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.362,93.0,98,6,6.12,4.46 (2.54-6.38),92,93.88,4.61 (4.19-5.03),3.26,2.61
oligodendrocyte progenitor cells 7,200.0,0.181,53.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,408.0,0.327,77.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04),2.09,2.32
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.173,40.0,302,5,1.66,2.77 (1.34-4.20),297,98.34,4.01 (3.78-4.24),10.22,10.66
oligodendrocytes 20,403.0,0.139,57.0,18,5,27.78,0.56 (0.36-0.76),13,72.22,2.38 (1.61-3.16),6.82,2.63
GABA like neurons 14,3052.0,0.019,1.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,279.0,0.326,78.0,78,9,11.54,2.61 (2.10-3.13),69,88.46,4.58 (4.15-5.01),3.30,2.63
oligodendrocyte progenitor cells 12,3303.0,0.141,97.0,276,6,2.17,1.66 (0.83-2.49),270,97.83,3.60 (3.38-3.82),5.86,5.09
oligodendrocytes 10,1277.0,0.155,74.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,104.0,0.282,50.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09),NA,1.73
astrocytes 15,208.0,0.579,98.0,4,1,25.0,4.85 (NA-NA),3,75.0,2.25 (-0.30-4.81),3.98,2.43
oligodendrocytes 16,92.0,0.159,26.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.355,74.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59),NA,3.21
astrocytes 4,251.0,0.307,96.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06),2.75,3.09
oligodendrocytes 0,613.0,0.245,96.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,127.0,0.121,24.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87),NA,2.47
oligodendrocytes 3,743.0,0.134,90.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,348.0,0.264,73.0,114,7,6.14,3.92 (2.89-4.94),107,93.86,5.23 (4.80-5.66),6.74,4.24
