tipo_celular,module_size,NSA2_MM,NSA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.13,22.0,98,17,17.35,3.29 (2.09-4.48),81,82.65,3.19 (2.68-3.70),14.60,13.22
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.098,8.0,353,22,6.23,1.72 (1.32-2.12),331,93.77,4.08 (3.90-4.26),18.75,7.35
GABA neurons expressing GLU receptors 22,487.0,0.19,41.0,73,8,10.96,2.67 (1.26-4.08),65,89.04,2.77 (2.37-3.16),3.85,7.76
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.153,33.0,302,8,2.65,4.79 (2.35-7.23),294,97.35,3.96 (3.74-4.18),9.27,10.69
oligodendrocytes 20,233.0,0.196,52.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2402.0,0.18,34.0,455,19,4.18,2.88 (1.81-3.96),436,95.82,4.43 (4.24-4.61),13.88,8.62
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.081,42.0,235,7,2.98,5.57 (4.03-7.10),228,97.02,3.76 (3.53-4.00),11.32,7.50
oligodendrocytes 10,483.0,0.103,44.0,129,7,5.43,6.19 (5.07-7.32),122,94.57,3.28 (2.90-3.67),11.58,19.63
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,158.0,0.311,92.0,30,0,0.0,NA,30,100.0,2.33 (1.68-2.98),NA,12.02
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,118.0,0.347,76.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.059,1.0,127,5,3.94,1.58 (1.21-1.96),122,96.06,3.15 (2.72-3.58),3.05,6.41
microglia 1,406.0,0.163,43.0,278,3,1.08,7.59 (NA-NA),275,98.92,4.34 (4.07-4.62),5.43,6.75
oligodendrocytes 3,303.0,0.036,1.0,154,5,3.25,6.70 (6.01-7.39),149,96.75,3.51 (3.20-3.82),10.34,11.89
oligodendrocytes 2,1630.0,0.098,2.0,154,3,1.95,5.49 (4.18-6.81),151,98.05,3.19 (2.93-3.46),2.87,3.61
