tipo_celular,module_size,ARHGEF3_MM,ARHGEF3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.232,75.0,73,7,9.59,4.05 (3.66-4.44),66,90.41,3.50 (3.11-3.88),2.44,3.30
T cells 18,506.0,0.139,30.0,225,6,2.67,2.26 (1.41-3.11),219,97.33,3.66 (3.41-3.92),4.13,8.01
astrocytes 5,322.0,0.513,99.0,58,13,22.41,3.27 (2.37-4.17),45,77.59,4.47 (4.02-4.91),2.21,2.35
oligodendrocyte progenitor cells 7,4285.0,0.169,93.0,353,8,2.27,2.22 (0.75-3.69),345,97.73,3.94 (3.75-4.12),24.98,7.67
GABA neurons expressing GLU receptors 22,400.0,0.103,6.0,24,3,12.5,1.58 (-0.37-3.52),21,87.5,2.24 (1.71-2.77),8.87,2.83
GLU like neurons 17,229.0,0.254,82.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,289.0,0.096,11.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.27,69.0,120,18,15.0,3.79 (2.93-4.64),102,85.0,4.76 (4.42-5.09),5.81,3.27
oligodendrocytes 20,275.0,0.234,64.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2090.0,0.21,83.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,354.0,0.151,66.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,1049.0,0.106,58.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,2107.0,0.147,50.0,358,15,4.19,1.99 (1.10-2.89),343,95.81,3.96 (3.77-4.15),13.84,9.28
connective tissue cells 21,112.0,0.27,65.0,7,0,0.0,NA,7,100.0,1.95 (1.17-2.73),NA,1.93
astrocytes 15,1401.0,0.132,83.0,96,2,2.08,1.93 (1.64-2.21),94,97.92,3.66 (3.20-4.11),1.81,3.84
oligodendrocytes 16,112.0,0.178,53.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,91.0,0.335,80.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,171.0,0.391,100.0,22,1,4.55,2.54 (NA-NA),21,95.45,4.67 (3.72-5.61),1.65,2.03
oligodendrocytes 0,479.0,0.189,76.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,813.0,0.087,14.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,639.0,0.189,91.0,15,2,13.33,0.61 (-0.07-1.28),13,86.67,3.81 (2.38-5.23),3.88,1.96
oligodendrocytes 2,804.0,0.215,95.0,84,2,2.38,0.58 (-0.15-1.31),82,97.62,2.75 (2.42-3.09),3.00,3.41
