tipo_celular,module_size,C6orf89_MM,C6orf89_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.248,71.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,518,0.1,14.0,131,2,1.53,4.62 (4.62-4.62),129,98.47,3.05 (2.77-3.32),1.55,4.80
astrocytes 5,932,0.118,63.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.129,40.0,353,27,7.65,2.02 (1.50-2.55),326,92.35,4.09 (3.91-4.28),26.96,6.50
GABA neurons expressing GLU receptors 22,487,0.204,47.0,73,2,2.74,1.57 (1.57-1.57),71,97.26,2.79 (2.40-3.19),2.83,7.45
GLU like neurons 17,229,0.247,79.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,97,0.106,21.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,88,0.118,18.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,559,0.066,8.0,155,1,0.65,4.62 (NA-NA),154,99.35,4.33 (3.97-4.70),1.64,4.35
oligodendrocytes 20,358,0.123,35.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2402,0.216,46.0,455,17,3.74,1.79 (1.14-2.44),438,96.26,4.48 (4.30-4.66),28.27,8.08
astrocytes 8,262,0.104,33.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303,0.06,27.0,276,14,5.07,1.87 (1.46-2.28),262,94.93,3.66 (3.44-3.88),13.58,4.66
oligodendrocytes 10,806,0.124,37.0,261,4,1.53,2.03 (1.37-2.69),257,98.47,4.41 (4.17-4.66),14.39,5.94
connective tissue cells 21,136,0.368,84.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,338,0.154,53.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,90,0.174,25.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,518,0.103,43.0,122,12,9.84,1.35 (0.88-1.82),110,90.16,4.38 (4.00-4.76),4.60,3.36
astrocytes microglia 23,96,0.292,40.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.147,42.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43),3.06,6.12
oligodendrocytes 0,1186,0.114,12.0,300,1,0.33,2.93 (NA-NA),299,99.67,3.80 (3.59-4.00),3.84,4.16
microglia 1,813,0.068,2.0,79,4,5.06,2.81 (1.68-3.94),75,94.94,3.12 (2.70-3.54),4.64,8.08
oligodendrocytes 3,681,0.047,6.0,87,11,12.64,1.61 (1.12-2.10),76,87.36,2.74 (2.45-3.03),8.02,3.70
oligodendrocytes 2,921,0.141,57.0,200,2,1.0,1.99 (1.51-2.47),198,99.0,3.64 (3.37-3.91),2.16,3.48
