tipo_celular,module_size,ALK_MM,ALK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.184,65.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,666.0,0.127,21.0,127,20,15.75,2.78 (2.09-3.47),107,84.25,4.07 (3.71-4.44),4.05,6.17
GABA neurons expressing GLU receptors 22,459.0,0.136,39.0,165,16,9.7,2.42 (1.91-2.92),149,90.3,5.44 (5.11-5.76),4.83,4.01
GLU like neurons 17,685.0,0.199,76.0,135,34,25.19,2.53 (2.02-3.03),101,74.81,3.43 (3.06-3.79),3.88,3.71
da like neurons 11,102.0,0.178,32.0,8,2,25.0,3.07 (2.93-3.20),6,75.0,0.95 (NA-NA),2.40,1.76
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.187,41.0,306,54,17.65,3.72 (3.23-4.22),252,82.35,5.56 (5.28-5.83),10.43,5.91
astrocytes 8,262.0,0.053,10.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,411.0,0.414,90.0,103,11,10.68,5.20 (4.01-6.39),92,89.32,5.60 (5.20-6.01),3.32,3.06
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.06,23.0,105,21,20.0,1.93 (1.46-2.40),84,80.0,3.57 (3.20-3.94),5.32,3.64
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.27,25.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77),NA,2.03
astrocytes 4,201.0,0.157,38.0,18,4,22.22,3.27 (2.36-4.19),14,77.78,4.96 (3.91-6.01),2.19,3.35
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
