tipo_celular,module_size,NPC2_MM,NPC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.15,47.0,71,2,2.82,1.37 (-0.92-3.66),69,97.18,2.66 (2.25-3.08),2.08,3.62
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.199,47.0,302,10,3.31,2.77 (1.34-4.20),292,96.69,4.01 (3.78-4.24),6.83,10.78
oligodendrocytes 20,250.0,0.199,59.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,483.0,0.259,79.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81),8.17,19.36
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,104.0,0.259,85.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA,1.45,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.301,40.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54),NA,2.65
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.111,16.0,252,33,13.1,2.07 (1.49-2.65),219,86.9,4.37 (4.13-4.61),13.62,7.40
microglia 1,406.0,0.282,65.0,278,4,1.44,3.80 (3.74-3.85),274,98.56,4.37 (4.09-4.64),4.75,6.77
oligodendrocytes 3,303.0,0.105,35.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.234,42.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
