tipo_celular,module_size,PPP1R21_MM,PPP1R21_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.248,82.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58),3.06,3.63
T cells 18,610.0,0.123,27.0,98,9,9.18,1.43 (0.43-2.44),89,90.82,3.31 (3.00-3.62),9.16,3.52
astrocytes 5,165.0,0.116,16.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,4285.0,0.138,54.0,353,11,3.12,1.43 (0.58-2.27),342,96.88,3.99 (3.81-4.17),36.92,7.14
GABA neurons expressing GLU receptors 22,567.0,0.215,61.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637.0,0.122,34.0,91,7,7.69,0.72 (0.28-1.15),84,92.31,4.98 (4.52-5.45),3.68,3.01
da like neurons 11,102.0,0.246,48.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20),2.05,1.90
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.156,32.0,74,2,2.7,3.95 (2.83-5.06),72,97.3,5.53 (4.96-6.10),1.81,3.69
oligodendrocytes 20,279.0,0.189,43.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,3052.0,0.142,53.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.191,65.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,708.0,0.093,38.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84),NA,2.54
oligodendrocytes 10,1277.0,0.098,44.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,102.0,0.374,84.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,458.0,0.055,21.0,36,2,5.56,3.95 (2.83-5.06),34,94.44,3.75 (2.56-4.94),2.00,2.61
oligodendrocytes 16,112.0,0.131,15.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,398.0,0.098,20.0,138,2,1.45,0.40 (0.12-0.69),136,98.55,4.90 (4.54-5.26),2.74,2.73
astrocytes microglia 23,121.0,0.204,2.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,721.0,0.152,50.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,1186.0,0.172,88.0,300,1,0.33,4.52 (NA-NA),299,99.67,3.79 (3.58-4.00),1.88,4.16
microglia 1,1615.0,0.126,72.0,161,8,4.97,0.70 (0.32-1.07),153,95.03,3.44 (3.18-3.70),18.08,4.77
oligodendrocytes 3,1003.0,0.142,82.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,237.0,0.162,24.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
