tipo_celular,module_size,PAN2_MM,PAN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.148,93.0,136,6,4.41,3.27 (1.63-4.91),130,95.59,3.21 (2.93-3.48),6.10,4.94
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,271.0,0.347,90.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2090.0,0.082,6.0,74,8,10.81,1.96 (1.65-2.26),66,89.19,3.06 (2.65-3.47),3.60,11.34
astrocytes 8,260.0,0.127,55.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.091,38.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,111.0,0.362,87.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.123,80.0,105,23,21.9,2.74 (1.96-3.52),82,78.1,3.35 (2.99-3.72),5.28,3.61
oligodendrocytes 16,65.0,0.472,99.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,62.0,0.286,37.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.184,99.0,104,18,17.31,1.75 (1.19-2.31),86,82.69,3.12 (2.83-3.41),8.21,4.81
oligodendrocytes 0,2078.0,0.112,45.0,238,26,10.92,4.22 (3.59-4.84),212,89.08,3.55 (3.32-3.78),4.07,5.14
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.076,32.0,87,36,41.38,2.25 (1.91-2.59),51,58.62,2.85 (2.46-3.25),4.00,4.41
oligodendrocytes 2,1630.0,0.176,97.0,154,3,1.95,3.95 (2.56-5.33),151,98.05,3.23 (2.96-3.50),1.54,3.63
