tipo_celular,module_size,GRIK3_MM,GRIK3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,117.0,0.227,76.0,28,12,42.86,4.47 (3.65-5.29),16,57.14,6.08 (5.49-6.67),2.32,2.49
oligodendrocyte progenitor cells 7,448.0,0.116,31.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,795.0,0.289,93.0,80,21,26.25,5.28 (4.40-6.16),59,73.75,5.83 (5.36-6.29),3.30,2.91
da like neurons 11,200.0,0.286,77.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.254,95.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.139,84.0,66,6,9.09,1.47 (0.40-2.53),60,90.91,3.43 (3.01-3.85),3.48,2.90
oligodendrocyte progenitor cells 12,138.0,0.536,90.0,5,2,40.0,4.33 (4.33-4.33),3,60.0,NA,1.43,2.85
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261.0,0.136,42.0,8,4,50.0,1.64 (-0.94-4.21),4,50.0,5.21 (3.18-7.24),1.93,1.73
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,52.0,0.345,69.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
astrocytes 4,251.0,0.22,84.0,34,12,35.29,4.33 (3.45-5.21),22,64.71,5.86 (5.16-6.56),2.18,3.56
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
