tipo_celular,module_size,MVP_MM,MVP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.113,16.0,98,11,11.22,2.34 (1.27-3.41),87,88.78,3.31 (2.81-3.82),8.10,14.13
T cells 18,624.0,0.2,83.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,322.0,0.114,17.0,58,9,15.52,3.38 (2.21-4.55),49,84.48,4.35 (3.92-4.79),2.14,2.35
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.163,53.0,155,2,1.29,5.19 (NA-NA),153,98.71,4.33 (3.96-4.70),2.60,4.35
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.064,39.0,89,3,3.37,0.92 (0.81-1.03),86,96.63,2.85 (2.50-3.20),5.80,6.05
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,301.0,0.273,22.0,158,15,9.49,3.30 (2.08-4.51),143,90.51,4.34 (3.96-4.72),8.64,6.90
astrocytes 15,1401.0,0.068,33.0,96,5,5.21,2.59 (1.46-3.73),91,94.79,3.68 (3.21-4.15),5.59,3.70
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,116.0,0.306,37.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,1807.0,0.108,5.0,104,14,13.46,1.58 (1.09-2.08),90,86.54,3.08 (2.79-3.37),14.24,4.02
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,813.0,0.092,18.0,79,3,3.8,2.87 (2.25-3.49),76,96.2,3.11 (2.69-3.53),3.23,8.09
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
