tipo_celular,module_size,PPP6R1_MM,PPP6R1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.251,68.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,624.0,0.151,48.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656.0,0.076,4.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.08,2.0,353,13,3.68,1.03 (0.40-1.65),340,96.32,4.00 (3.82-4.18),36.27,6.99
GABA neurons expressing GLU receptors 22,823.0,0.158,36.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.146,60.0,133,6,4.51,1.09 (0.11-2.07),127,95.49,3.38 (3.06-3.69),7.97,3.98
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.057,4.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,275.0,0.215,57.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2090.0,0.186,72.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.069,36.0,66,8,12.12,1.38 (0.44-2.32),58,87.88,3.53 (3.12-3.93),4.14,2.79
oligodendrocyte progenitor cells 12,3303.0,0.095,70.0,276,3,1.09,1.22 (0.43-2.02),273,98.91,3.57 (3.36-3.79),16.57,4.98
oligodendrocytes 10,483.0,0.124,52.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,250.0,0.159,7.0,117,3,2.56,3.12 (2.26-3.98),114,97.44,5.43 (5.03-5.83),2.30,3.78
astrocytes 15,1401.0,0.056,21.0,96,2,2.08,NA,94,97.92,3.61 (3.16-4.06),2.78,3.82
oligodendrocytes 16,75.0,0.181,40.0,1,0,0.0,NA,1,100.0,NA,NA,1.70
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,157.0,0.256,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.144,49.0,104,4,3.85,1.05 (0.40-1.71),100,96.15,2.94 (2.66-3.22),14.87,5.02
oligodendrocytes 0,2078.0,0.098,19.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86),NA,5.02
microglia 1,813.0,0.077,6.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,187.0,0.031,0.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,1630.0,0.154,75.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
