tipo_celular,module_size,BNIP2_MM,BNIP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.163,25.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,727.0,0.15,55.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1656.0,0.116,51.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.152,75.0,353,25,7.08,2.08 (1.49-2.67),328,92.92,4.07 (3.89-4.25),28.71,6.49
GABA neurons expressing GLU receptors 22,714.0,0.137,23.0,17,4,23.53,2.46 (2.14-2.78),13,76.47,2.26 (1.50-3.03),2.59,3.87
GLU like neurons 17,685.0,0.12,42.0,135,16,11.85,3.12 (2.22-4.01),119,88.15,3.20 (2.88-3.53),3.19,3.82
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.172,56.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,938.0,0.08,27.0,169,7,4.14,2.68 (1.27-4.08),162,95.86,3.52 (3.31-3.74),4.18,5.41
GABA like neurons 14,3052.0,0.094,14.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,603.0,0.049,21.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,708.0,0.025,1.0,25,3,12.0,3.51 (0.27-6.75),22,88.0,2.76 (1.72-3.80),2.01,2.61
oligodendrocytes 10,483.0,0.168,66.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,126.0,0.346,85.0,7,0,0.0,NA,7,100.0,1.50 (0.53-2.48),NA,1.88
astrocytes 15,338.0,0.248,94.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,158.0,0.276,86.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,47.0,0.244,5.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.129,23.0,104,10,9.62,1.84 (1.08-2.61),94,90.38,2.98 (2.69-3.27),15.11,4.36
oligodendrocytes 0,2078.0,0.126,75.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87),13.66,4.99
microglia 1,958.0,0.123,67.0,290,7,2.41,1.59 (1.01-2.17),283,97.59,3.88 (3.65-4.11),6.28,4.97
oligodendrocytes 3,743.0,0.076,41.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.19,100.0,154,2,1.3,3.26 (1.03-5.49),152,98.7,3.24 (2.98-3.51),2.36,3.61
