tipo_celular,module_size,RBBP7_MM,RBBP7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,518.0,0.135,35.0,131,7,5.34,3.59 (2.82-4.37),124,94.66,3.04 (2.75-3.33),3.10,4.85
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.143,63.0,353,74,20.96,2.35 (2.07-2.64),279,79.04,4.42 (4.24-4.60),18.33,5.34
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.116,24.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58),2.42,4.30
oligodendrocytes 20,250.0,0.177,51.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.041,8.0,276,54,19.57,2.18 (1.93-2.43),222,80.43,3.98 (3.74-4.22),8.98,4.17
oligodendrocytes 10,735.0,0.062,21.0,277,2,0.72,NA,275,99.28,3.89 (3.65-4.14),1.37,9.00
connective tissue cells 21,95.0,0.328,73.0,4,3,75.0,2.91 (2.68-3.14),1,25.0,5.16 (NA-NA),1.75,1.62
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,313.0,0.102,5.0,291,2,0.69,1.61 (-0.47-3.70),289,99.31,4.35 (4.13-4.57),2.34,3.83
da neurons 6,518.0,0.06,3.0,122,10,8.2,1.37 (0.52-2.22),112,91.8,4.30 (3.93-4.68),3.00,3.53
astrocytes microglia 23,121.0,0.388,91.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.091,4.0,127,20,15.75,2.34 (1.93-2.75),107,84.25,3.27 (2.76-3.79),3.16,6.86
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.057,16.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.145,58.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
