tipo_celular,module_size,ZNF721_MM,ZNF721_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218.0,0.183,30.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,388.0,0.105,21.0,84,8,9.52,2.41 (2.26-2.55),76,90.48,3.04 (2.68-3.40),2.22,4.54
astrocytes 5,1141.0,0.097,11.0,166,19,11.45,1.55 (1.23-1.86),147,88.55,3.69 (3.44-3.94),4.66,4.54
oligodendrocyte progenitor cells 7,4285.0,0.124,32.0,353,34,9.63,1.57 (1.30-1.84),319,90.37,4.22 (4.05-4.39),23.50,6.42
GABA neurons expressing GLU receptors 22,1069.0,0.192,70.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69),2.44,3.18
GLU like neurons 17,1247.0,0.193,81.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.173,74.0,133,37,27.82,1.84 (1.55-2.13),96,72.18,3.94 (3.59-4.29),5.65,3.59
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.147,65.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,330.0,0.219,66.0,36,12,33.33,1.86 (1.62-2.11),24,66.67,1.95 (1.43-2.48),1.90,3.74
GABA like neurons 14,1300.0,0.311,91.0,306,4,1.31,0.73 (0.37-1.08),302,98.69,5.18 (4.92-5.43),6.68,6.71
astrocytes 8,727.0,0.133,66.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.148,98.0,276,28,10.14,1.68 (1.46-1.90),248,89.86,3.83 (3.61-4.05),7.40,4.85
oligodendrocytes 10,2107.0,0.087,21.0,358,38,10.61,1.53 (1.28-1.79),320,89.39,4.25 (4.07-4.43),27.02,7.39
connective tissue cells 21,69.0,0.273,43.0,1,0,0.0,NA,1,100.0,NA,NA,1.82
astrocytes 15,1401.0,0.122,77.0,96,1,1.04,1.85 (NA-NA),95,98.96,3.64 (3.18-4.09),1.39,3.82
oligodendrocytes 16,156.0,0.139,6.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,190.0,0.258,45.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,752.0,0.131,20.0,96,3,3.12,1.97 (1.86-2.07),93,96.88,3.34 (3.01-3.68),2.11,4.39
oligodendrocytes 0,1186.0,0.14,41.0,300,1,0.33,3.05 (NA-NA),299,99.67,3.80 (3.59-4.00),3.76,4.16
microglia 1,1615.0,0.078,8.0,161,34,21.12,1.57 (1.30-1.84),127,78.88,3.86 (3.60-4.13),9.07,4.46
oligodendrocytes 3,639.0,0.109,61.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53),3.72,1.84
oligodendrocytes 2,407.0,0.148,45.0,122,35,28.69,1.63 (1.36-1.91),87,71.31,4.30 (3.88-4.73),3.17,2.51
