tipo_celular,module_size,ACO1_MM,ACO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.078,5.0,136,4,2.94,2.46 (1.23-3.69),132,97.06,3.23 (2.96-3.51),4.24,5.01
oligodendrocyte progenitor cells 7,4285.0,0.134,49.0,353,20,5.67,1.42 (0.92-1.91),333,94.33,4.07 (3.90-4.25),31.56,6.65
GABA neurons expressing GLU receptors 22,703.0,0.21,64.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,489.0,0.101,23.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,94.0,0.233,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.082,15.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,250.0,0.203,61.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052.0,0.106,23.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.047,12.0,66,7,10.61,0.93 (0.07-1.80),59,89.39,3.55 (3.16-3.94),4.77,2.74
oligodendrocyte progenitor cells 12,3303.0,0.067,35.0,276,12,4.35,1.83 (1.28-2.38),264,95.65,3.64 (3.42-3.86),10.20,4.88
oligodendrocytes 10,1277.0,0.029,3.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,152.0,0.354,84.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,261.0,0.132,39.0,8,4,50.0,1.87 (0.12-3.62),4,50.0,6.09 (4.30-7.88),1.65,2.01
oligodendrocytes 16,123.0,0.231,65.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,518.0,0.096,34.0,122,16,13.11,1.77 (1.00-2.54),106,86.89,4.29 (3.89-4.68),3.91,3.42
astrocytes microglia 23,135.0,0.311,47.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.151,50.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36),1.43,5.81
oligodendrocytes 0,2078.0,0.099,21.0,238,3,1.26,2.01 (0.19-3.84),235,98.74,3.66 (3.44-3.88),8.89,4.97
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.042,3.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,1630.0,0.133,32.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52),5.45,3.58
