tipo_celular,module_size,IGSF11_MM,IGSF11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.192,98.0,166,2,1.2,0.38 (0.04-0.71),164,98.8,3.44 (3.19-3.68),2.58,4.57
oligodendrocyte progenitor cells 7,229.0,0.222,64.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,637.0,0.156,49.0,91,3,3.3,2.28 (-0.28-4.85),88,96.7,4.64 (4.12-5.17),1.93,3.10
da like neurons 11,408.0,0.315,75.0,25,1,4.0,1.95 (NA-NA),24,96.0,4.75 (3.40-6.11),1.88,2.29
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.649,93.0,110,3,2.73,4.45 (4.20-4.71),107,97.27,5.01 (4.55-5.48),4.44,3.50
GABA like neurons 14,3052.0,0.112,27.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,354.0,0.274,98.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,708.0,0.472,96.0,32,1,3.12,4.70 (NA-NA),31,96.88,3.19 (2.36-4.02),3.98,2.55
oligodendrocytes 10,236.0,0.695,98.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51),NA,3.84
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.134,85.0,105,3,2.86,0.90 (-0.14-1.94),102,97.14,3.29 (2.95-3.62),5.54,3.93
oligodendrocytes 16,153.0,0.341,42.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,190.0,0.303,72.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,255.0,0.191,62.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,261.0,0.234,83.0,42,1,2.38,4.26 (NA-NA),41,97.62,4.05 (3.34-4.77),2.29,2.27
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,116.0,0.296,71.0,7,0,0.0,NA,7,100.0,3.71 (1.38-6.05),NA,1.47
oligodendrocytes 2,347.0,0.138,15.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
