tipo_celular,module_size,GTPBP10_MM,GTPBP10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172.0,0.127,28.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93),NA,3.57
T cells 18,727.0,0.068,3.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,18,5.1,1.67 (1.13-2.20),335,94.9,4.05 (3.86-4.23),26.57,7.07
GABA neurons expressing GLU receptors 22,599.0,0.297,85.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,271.0,0.081,10.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,3052.0,0.08,8.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.111,83.0,276,13,4.71,2.33 (1.80-2.86),263,95.29,3.62 (3.40-3.85),5.99,5.07
oligodendrocytes 10,2107.0,0.149,51.0,358,12,3.35,1.17 (0.63-1.72),346,96.65,3.99 (3.80-4.17),33.51,8.64
connective tissue cells 21,95.0,0.38,89.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59),NA,1.71
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,51.0,0.187,20.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA),NA,21.90
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,51.0,0.345,74.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.112,44.0,238,4,1.68,2.50 (1.67-3.33),234,98.32,3.66 (3.44-3.88),4.69,5.03
microglia 1,1615.0,0.111,53.0,161,12,7.45,1.06 (0.64-1.48),149,92.55,3.49 (3.23-3.76),12.96,4.83
oligodendrocytes 3,854.0,0.075,31.0,76,2,2.63,1.39 (1.08-1.71),74,97.37,2.82 (2.49-3.15),3.10,4.76
oligodendrocytes 2,1630.0,0.158,82.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52),5.45,3.58
