tipo_celular,module_size,FLYWCH1_MM,FLYWCH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,388.0,0.115,27.0,84,8,9.52,2.41 (2.26-2.55),76,90.48,3.04 (2.68-3.40),2.22,4.54
astrocytes 5,932.0,0.1,38.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07),1.98,4.36
oligodendrocyte progenitor cells 7,4285.0,0.106,14.0,353,56,15.86,2.14 (1.83-2.44),297,84.14,4.33 (4.16-4.51),22.02,5.43
GABA neurons expressing GLU receptors 22,1069.0,0.163,49.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,300.0,0.271,94.0,16,7,43.75,2.78 (1.77-3.79),9,56.25,1.39 (0.16-2.61),1.98,2.85
da like neurons 11,215.0,0.329,83.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,101.0,0.193,76.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,358.0,0.028,7.0,31,1,3.23,2.80 (NA-NA),30,96.77,2.34 (1.90-2.79),2.60,3.87
GABA like neurons 14,2090.0,0.177,66.0,74,16,21.62,2.51 (2.04-2.98),58,78.38,3.07 (2.61-3.54),3.40,12.46
astrocytes 8,1266.0,0.086,55.0,66,22,33.33,2.12 (1.50-2.73),44,66.67,3.87 (3.43-4.31),3.89,2.48
oligodendrocyte progenitor cells 12,3303.0,0.039,7.0,276,42,15.22,2.14 (1.84-2.44),234,84.78,3.89 (3.66-4.13),10.86,4.08
oligodendrocytes 10,806.0,0.124,37.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,84.0,0.253,49.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60),NA,1.83
astrocytes 15,1401.0,0.036,6.0,96,5,5.21,2.17 (1.17-3.16),91,94.79,3.69 (3.23-4.15),4.38,3.77
oligodendrocytes 16,107.0,0.23,59.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28),2.31,4.04
da neurons 6,448.0,0.079,22.0,43,6,13.95,3.88 (3.69-4.07),37,86.05,3.16 (2.54-3.78),2.73,3.59
astrocytes microglia 23,135.0,0.337,65.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.138,26.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.097,17.0,238,13,5.46,2.66 (2.02-3.30),225,94.54,3.70 (3.48-3.93),6.61,4.93
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.037,1.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,1630.0,0.146,60.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
