tipo_celular,module_size,NEK11_MM,NEK11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.253,64.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.271,93.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285.0,0.141,59.0,353,46,13.03,2.38 (2.02-2.74),307,86.97,4.20 (4.01-4.39),21.48,6.05
GABA neurons expressing GLU receptors 22,823.0,0.138,25.0,23,7,30.43,3.34 (2.45-4.23),16,69.57,1.80 (0.90-2.69),2.23,3.94
GLU like neurons 17,489.0,0.081,12.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64),2.25,3.24
da like neurons 11,289.0,0.185,50.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,279.0,0.401,91.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,3052.0,0.146,57.0,125,2,1.6,3.02 (2.98-3.06),123,98.4,3.36 (3.03-3.69),4.99,8.67
astrocytes 8,354.0,0.256,97.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.112,84.0,276,39,14.13,2.59 (2.24-2.94),237,85.87,3.76 (3.51-4.00),10.96,4.15
oligodendrocytes 10,2107.0,0.109,33.0,358,48,13.41,2.41 (2.01-2.80),310,86.59,4.18 (3.99-4.38),23.36,7.32
connective tissue cells 21,125.0,0.324,59.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,377.0,0.136,39.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45),2.71,2.35
oligodendrocytes 16,51.0,0.284,84.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA),NA,21.90
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,44.0,0.234,17.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25),NA,2.60
astrocytes 4,752.0,0.181,89.0,96,9,9.38,3.15 (2.41-3.89),87,90.62,3.31 (2.95-3.67),2.54,4.50
oligodendrocytes 0,2078.0,0.095,14.0,238,10,4.2,2.53 (1.91-3.14),228,95.8,3.69 (3.47-3.92),6.35,4.96
microglia 1,1615.0,0.094,27.0,161,31,19.25,2.21 (1.72-2.70),130,80.75,3.60 (3.31-3.89),12.77,3.68
oligodendrocytes 3,854.0,0.074,31.0,76,9,11.84,3.16 (2.18-4.14),67,88.16,2.72 (2.37-3.07),2.87,4.97
oligodendrocytes 2,1630.0,0.103,3.0,154,1,0.65,4.40 (NA-NA),153,99.35,3.24 (2.97-3.50),2.04,3.60
