tipo_celular,module_size,FANCC_MM,FANCC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.108,16.0,71,6,8.45,1.69 (0.91-2.48),65,91.55,2.72 (2.28-3.17),1.70,3.75
T cells 18,624.0,0.157,53.0,142,2,1.41,3.03 (2.67-3.40),140,98.59,3.21 (2.94-3.48),1.88,4.33
astrocytes 5,1141.0,0.116,28.0,166,23,13.86,1.92 (1.52-2.33),143,86.14,3.69 (3.43-3.95),7.73,4.04
oligodendrocyte progenitor cells 7,4285.0,0.155,79.0,353,34,9.63,1.81 (1.42-2.20),319,90.37,4.19 (4.01-4.36),31.01,5.62
GABA neurons expressing GLU receptors 22,703.0,0.273,90.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93),2.71,4.04
GLU like neurons 17,300.0,0.181,42.0,16,6,37.5,2.38 (1.62-3.14),10,62.5,1.86 (0.45-3.27),2.09,2.69
da like neurons 11,145.0,0.268,60.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.157,71.0,297,3,1.01,2.77 (2.05-3.48),294,98.99,3.69 (3.48-3.89),7.97,5.49
oligodendrocytes 20,676.0,0.058,27.0,110,1,0.91,1.74 (NA-NA),109,99.09,5.03 (4.59-5.48),5.35,3.51
GABA like neurons 14,2090.0,0.141,41.0,74,2,2.7,1.48 (1.39-1.57),72,97.3,2.99 (2.61-3.37),3.80,10.69
astrocytes 8,771.0,0.055,16.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,3303.0,0.083,55.0,276,23,8.33,2.01 (1.64-2.38),253,91.67,3.73 (3.50-3.96),15.12,4.20
oligodendrocytes 10,1277.0,0.165,79.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,106.0,0.164,6.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA),NA,1.33
astrocytes 15,1768.0,0.097,59.0,105,15,14.29,1.49 (1.11-1.88),90,85.71,3.53 (3.18-3.88),8.49,3.23
oligodendrocytes 16,81.0,0.173,43.0,1,0,0.0,NA,1,100.0,NA,NA,3.71
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.307,57.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.117,6.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,613.0,0.165,70.0,127,6,4.72,2.29 (1.49-3.09),121,95.28,3.11 (2.67-3.55),5.06,6.34
microglia 1,1615.0,0.107,46.0,161,29,18.01,1.76 (1.32-2.21),132,81.99,3.70 (3.43-3.97),14.11,3.53
oligodendrocytes 3,681.0,0.208,96.0,87,24,27.59,1.81 (1.43-2.18),63,72.41,2.91 (2.60-3.23),6.62,3.34
oligodendrocytes 2,921.0,0.175,94.0,200,7,3.5,3.03 (2.83-3.23),193,96.5,3.65 (3.37-3.93),2.66,3.49
