tipo_celular,module_size,PALM_MM,PALM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.177,98.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,200.0,0.179,50.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04),1.49,4.68
GABA neurons expressing GLU receptors 22,823.0,0.119,16.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,300.0,0.16,23.0,16,5,31.25,2.70 (2.17-3.23),11,68.75,1.74 (0.48-3.00),2.13,2.62
da like neurons 11,853.0,0.158,67.0,133,13,9.77,1.73 (1.06-2.40),120,90.23,3.45 (3.13-3.78),5.94,3.97
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.107,28.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.154,50.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.248,98.0,66,20,30.3,2.00 (1.42-2.58),46,69.7,3.89 (3.45-4.33),3.89,2.54
oligodendrocyte progenitor cells 12,3303.0,0.088,62.0,276,14,5.07,2.29 (1.65-2.93),262,94.93,3.63 (3.41-3.85),15.81,4.54
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.089,53.0,96,10,10.42,4.14 (3.13-5.14),86,89.58,3.54 (3.04-4.03),2.89,3.90
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307.0,0.063,3.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,190.0,0.277,58.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,251.0,0.218,83.0,34,3,8.82,3.23 (1.64-4.83),31,91.18,5.52 (4.94-6.11),2.50,3.13
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
