tipo_celular,module_size,ZNF444_MM,ZNF444_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.085,9.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57),7.46,4.87
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,29,8.22,1.79 (1.54-2.04),324,91.78,4.14 (3.96-4.32),14.55,7.48
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,408.0,0.056,2.0,25,4,16.0,1.16 (0.64-1.68),21,84.0,5.48 (4.15-6.81),1.99,2.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.073,24.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75),3.75,5.39
GABA like neurons 14,3052.0,0.139,50.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.059,24.0,66,2,3.03,0.62 (-0.19-1.44),64,96.97,3.32 (2.91-3.73),3.98,2.92
oligodendrocyte progenitor cells 12,3303.0,0.063,30.0,276,28,10.14,1.71 (1.49-1.92),248,89.86,3.82 (3.60-4.05),6.94,4.90
oligodendrocytes 10,735.0,0.028,2.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.044,12.0,96,1,1.04,1.85 (NA-NA),95,98.96,3.64 (3.18-4.09),1.39,3.82
oligodendrocytes 16,69.0,0.291,92.0,1,0,0.0,NA,1,100.0,NA,NA,1.56
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,99.0,0.362,72.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94),NA,4.50
astrocytes 4,1807.0,0.137,35.0,104,16,15.38,1.36 (1.08-1.64),88,84.62,3.16 (2.87-3.45),6.81,5.14
oligodendrocytes 0,2078.0,0.1,21.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93),7.99,4.91
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.06,16.0,87,26,29.89,1.88 (1.64-2.12),61,70.11,2.92 (2.57-3.27),4.24,4.24
oligodendrocytes 2,1630.0,0.143,52.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
