tipo_celular,module_size,FMNL3_MM,FMNL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.391,86.0,140,11,7.86,4.65 (3.70-5.59),129,92.14,4.55 (4.25-4.85),4.28,3.48
T cells 18,282.0,0.186,62.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,423.0,0.253,89.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,4285.0,0.167,92.0,353,17,4.82,1.55 (1.00-2.09),336,95.18,4.05 (3.86-4.23),29.77,6.97
GABA neurons expressing GLU receptors 22,599.0,0.164,27.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.228,60.0,120,12,10.0,4.27 (3.28-5.26),108,90.0,4.65 (4.32-4.98),3.57,3.66
oligodendrocytes 20,348.0,0.628,100.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,577.0,0.166,85.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74),1.30,4.51
oligodendrocyte progenitor cells 12,218.0,0.145,34.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,2107.0,0.246,81.0,358,17,4.75,1.34 (0.82-1.86),341,95.25,4.03 (3.85-4.22),25.00,8.70
connective tissue cells 21,106.0,0.396,94.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,458.0,0.11,58.0,36,2,5.56,8.28 (NA-NA),34,94.44,3.57 (2.51-4.63),1.66,2.63
oligodendrocytes 16,113.0,0.205,73.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71),NA,1.74
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.304,57.0,99,6,6.06,3.99 (2.97-5.02),93,93.94,4.32 (3.97-4.67),4.74,3.14
astrocytes 4,514.0,0.268,80.0,95,2,2.11,0.83 (0.75-0.91),93,97.89,3.44 (3.02-3.86),3.41,4.67
oligodendrocytes 0,1186.0,0.165,82.0,300,1,0.33,2.89 (NA-NA),299,99.67,3.80 (3.59-4.00),1.46,4.16
microglia 1,315.0,0.287,89.0,144,9,6.25,4.22 (3.47-4.97),135,93.75,4.48 (4.15-4.80),3.67,4.24
oligodendrocytes 3,681.0,0.088,43.0,87,5,5.75,1.42 (0.26-2.58),82,94.25,2.66 (2.39-2.93),6.45,4.11
oligodendrocytes 2,1630.0,0.138,43.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
