tipo_celular,module_size,ZNF571_MM,ZNF571_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.124,32.0,353,34,9.63,1.57 (1.30-1.84),319,90.37,4.22 (4.05-4.39),23.50,6.42
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.466,99.0,18,7,38.89,0.68 (0.46-0.91),11,61.11,2.64 (1.80-3.47),5.44,2.74
GABA like neurons 14,3052.0,0.159,67.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.055,21.0,276,28,10.14,1.68 (1.46-1.90),248,89.86,3.83 (3.61-4.05),7.40,4.85
oligodendrocytes 10,1277.0,0.054,13.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,81.0,0.098,10.0,1,0,0.0,NA,1,100.0,NA,NA,3.71
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.122,65.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93),7.99,4.91
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.078,34.0,87,28,32.18,1.76 (1.50-2.02),59,67.82,3.03 (2.69-3.36),4.92,3.92
oligodendrocytes 2,1630.0,0.138,42.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
