tipo_celular,module_size,NLK_MM,NLK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.231,78.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,624.0,0.141,40.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1141.0,0.148,73.0,166,36,21.69,2.38 (1.97-2.80),130,78.31,3.75 (3.47-4.03),6.37,4.05
oligodendrocyte progenitor cells 7,4285.0,0.16,85.0,353,63,17.85,2.22 (1.94-2.49),290,82.15,4.37 (4.19-4.56),19.79,5.52
GABA neurons expressing GLU receptors 22,703.0,0.15,29.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89),1.66,4.14
GLU like neurons 17,637.0,0.218,68.0,91,11,12.09,1.13 (0.42-1.84),80,87.91,5.13 (4.69-5.58),3.24,3.03
da like neurons 11,853.0,0.239,92.0,133,44,33.08,2.17 (1.83-2.50),89,66.92,3.95 (3.56-4.34),5.62,3.44
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.336,84.0,120,35,29.17,3.73 (3.40-4.05),85,70.83,5.05 (4.64-5.46),4.30,3.39
oligodendrocytes 20,676.0,0.689,95.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58),3.60,3.52
GABA like neurons 14,3052.0,0.118,32.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,771.0,0.291,80.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.15,66.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,236.0,0.429,33.0,82,4,4.88,3.24 (2.72-3.75),78,95.12,5.11 (4.57-5.65),2.52,3.90
connective tissue cells 21,90.0,0.245,23.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA,1.41,NA
astrocytes 15,367.0,0.097,21.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,153.0,0.428,77.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,398.0,0.164,56.0,138,26,18.84,2.77 (2.26-3.28),112,81.16,5.38 (5.01-5.76),2.52,2.78
astrocytes microglia 23,190.0,0.284,62.0,7,3,42.86,3.92 (3.20-4.64),4,57.14,5.76 (4.31-7.21),2.00,1.67
astrocytes 4,752.0,0.142,33.0,96,11,11.46,3.11 (2.40-3.82),85,88.54,3.31 (2.95-3.68),2.27,4.59
oligodendrocytes 0,261.0,0.221,75.0,42,4,9.52,0.97 (0.80-1.14),38,90.48,4.50 (3.87-5.14),2.19,2.28
microglia 1,813.0,0.109,42.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,116.0,0.293,70.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96),1.62,1.41
oligodendrocytes 2,237.0,0.227,57.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
