tipo_celular,module_size,HLA-E_MM,HLA-E_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.161,40.0,73,16,21.92,4.39 (3.81-4.97),57,78.08,3.27 (2.88-3.65),2.31,3.47
T cells 18,506.0,0.412,87.0,225,60,26.67,3.32 (2.93-3.71),165,73.33,3.71 (3.40-4.01),6.46,8.43
astrocytes 5,328.0,0.159,48.0,128,2,1.56,2.68 (NA-NA),126,98.44,3.58 (3.23-3.92),2.98,6.82
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.654,100.0,155,29,18.71,5.12 (4.37-5.86),126,81.29,4.23 (3.83-4.63),2.78,4.69
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.125,75.0,89,6,6.74,1.20 (0.96-1.45),83,93.26,2.89 (2.53-3.25),4.38,6.16
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,73.0,0.371,78.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.102,65.0,96,4,4.17,2.72 (1.11-4.32),92,95.83,3.66 (3.20-4.12),1.78,3.88
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,137.0,0.176,3.0,188,90,47.87,5.02 (4.51-5.54),98,52.13,3.68 (3.29-4.07),3.32,10.66
astrocytes 4,208.0,0.102,3.0,173,8,4.62,3.54 (2.11-4.96),165,95.38,3.80 (3.50-4.11),2.43,5.78
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,406.0,0.262,64.0,278,55,19.78,5.71 (5.22-6.21),223,80.22,4.08 (3.78-4.37),3.71,7.48
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
