tipo_celular,module_size,ERLIN2_MM,ERLIN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.13,73.0,136,7,5.15,3.05 (2.15-3.95),129,94.85,3.22 (2.94-3.50),5.21,4.98
oligodendrocyte progenitor cells 7,4285.0,0.122,29.0,353,27,7.65,1.68 (1.23-2.12),326,92.35,4.12 (3.95-4.30),25.18,6.65
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,727.0,0.045,6.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.044,10.0,276,18,6.52,1.74 (1.26-2.22),258,93.48,3.69 (3.47-3.91),8.44,4.88
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.099,62.0,105,17,16.19,2.05 (1.47-2.63),88,83.81,3.46 (3.09-3.82),4.52,3.87
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,115.0,0.359,76.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.169,89.0,104,15,14.42,2.00 (1.27-2.72),89,85.58,3.02 (2.73-3.32),10.14,4.60
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
