tipo_celular,module_size,KDM5D_MM,KDM5D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,727.0,0.11,25.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.109,17.0,353,46,13.03,1.96 (1.64-2.28),307,86.97,4.28 (4.11-4.46),24.00,5.68
GABA neurons expressing GLU receptors 22,848.0,0.187,41.0,262,7,2.67,1.01 (0.40-1.62),255,97.33,4.24 (4.00-4.49),4.63,4.09
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,168.0,0.099,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.11,42.0,169,6,3.55,2.11 (0.61-3.62),163,96.45,3.54 (3.33-3.76),2.79,5.46
GABA like neurons 14,2090.0,0.143,42.0,74,15,20.27,2.28 (1.93-2.64),59,79.73,3.11 (2.66-3.56),3.33,12.32
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,411.0,0.033,6.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,1277.0,0.082,32.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,111.0,0.338,82.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,81.0,0.383,99.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.342,59.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,117.0,0.093,8.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88),NA,2.12
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.066,22.0,87,40,45.98,1.90 (1.65-2.15),47,54.02,3.17 (2.79-3.55),5.32,3.32
oligodendrocytes 2,1630.0,0.122,16.0,154,1,0.65,4.40 (NA-NA),153,99.35,3.24 (2.97-3.50),2.04,3.60
