tipo_celular,module_size,RRM2B_MM,RRM2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.047,1.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,487.0,0.25,63.0,73,2,2.74,1.37 (1.27-1.47),71,97.26,2.80 (2.41-3.19),2.01,7.48
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,266.0,0.149,45.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,338.0,0.069,13.0,191,3,1.57,3.64 (2.08-5.21),188,98.43,3.89 (3.66-4.12),3.15,9.25
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.208,44.0,455,33,7.25,2.27 (1.77-2.76),422,92.75,4.57 (4.39-4.76),17.31,8.17
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,139.0,0.433,98.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228.0,0.081,27.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,103.0,0.313,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.118,62.0,161,33,20.5,1.79 (1.38-2.20),128,79.5,3.77 (3.50-4.04),13.13,3.45
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
