tipo_celular,module_size,PTPRO_MM,PTPRO_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.107,13.0,32,1,3.12,NA,31,96.88,3.72 (2.95-4.50),1.55,3.68
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,19,5.38,1.83 (1.36-2.30),334,94.62,4.04 (3.86-4.23),20.30,7.37
GABA neurons expressing GLU receptors 22,459.0,0.349,94.0,165,35,21.21,3.60 (2.93-4.27),130,78.79,5.50 (5.14-5.85),4.21,4.06
GLU like neurons 17,489.0,0.118,36.0,42,27,64.29,6.20 (5.52-6.88),15,35.71,5.51 (4.57-6.45),3.72,2.30
da like neurons 11,265.0,0.318,90.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,265.0,0.239,81.0,78,2,2.56,NA,76,97.44,4.36 (3.94-4.77),1.49,4.34
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.226,59.0,306,82,26.8,4.29 (3.77-4.81),224,73.2,5.45 (5.16-5.73),13.05,4.38
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.339,88.0,32,7,21.88,2.56 (0.58-4.55),25,78.12,3.47 (2.61-4.34),2.66,2.58
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.142,78.0,122,32,26.23,4.34 (3.10-5.57),90,73.77,3.88 (3.53-4.23),3.11,3.62
astrocytes microglia 23,83.0,0.33,65.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,813.0,0.094,21.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
