tipo_celular,module_size,DBI_MM,DBI_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.329,89.0,128,2,1.56,2.60 (NA-NA),126,98.44,3.58 (3.23-3.92),2.97,6.82
oligodendrocyte progenitor cells 7,628.0,0.32,91.0,164,4,2.44,4.64 (3.35-5.94),160,97.56,4.07 (3.73-4.40),8.94,7.49
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.345,78.0,302,6,1.99,2.93 (1.72-4.14),296,98.01,4.01 (3.78-4.24),9.99,10.67
oligodendrocytes 20,938.0,0.141,57.0,169,16,9.47,2.85 (1.96-3.74),153,90.53,3.54 (3.32-3.76),9.02,4.98
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.164,84.0,89,7,7.87,1.12 (0.93-1.31),82,92.13,2.93 (2.57-3.29),5.28,6.11
oligodendrocyte progenitor cells 12,1049.0,0.383,95.0,235,10,4.26,4.76 (3.29-6.24),225,95.74,3.79 (3.56-4.03),12.18,7.41
oligodendrocytes 10,483.0,0.155,63.0,129,3,2.33,4.06 (3.86-4.26),126,97.67,3.41 (3.01-3.81),6.31,19.50
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377.0,0.136,38.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,75.0,0.171,34.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.36,79.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,208.0,0.185,43.0,173,2,1.16,2.60 (NA-NA),171,98.84,3.81 (3.51-4.11),1.51,5.67
oligodendrocytes 0,546.0,0.26,82.0,252,32,12.7,2.25 (1.65-2.86),220,87.3,4.41 (4.17-4.65),14.88,7.24
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.137,50.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.284,56.0,213,3,1.41,4.27 (3.41-5.14),210,98.59,3.97 (3.69-4.25),2.94,8.01
