tipo_celular,module_size,PELI2_MM,PELI2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.137,33.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,518.0,0.157,52.0,131,2,1.53,8.28 (NA-NA),129,98.47,3.03 (2.77-3.29),1.88,4.80
astrocytes 5,1141.0,0.146,72.0,166,26,15.66,2.55 (1.91-3.18),140,84.34,3.53 (3.27-3.80),4.86,4.49
oligodendrocyte progenitor cells 7,436.0,0.084,20.0,219,1,0.46,NA,218,99.54,5.21 (4.92-5.50),2.53,4.62
GABA neurons expressing GLU receptors 22,703.0,0.16,34.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,685.0,0.082,17.0,135,25,18.52,2.37 (1.89-2.86),110,81.48,3.41 (3.06-3.76),4.06,3.68
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.226,95.0,297,12,4.04,4.06 (3.15-4.97),285,95.96,3.66 (3.46-3.87),9.43,5.35
oligodendrocytes 20,330.0,0.328,91.0,36,3,8.33,1.61 (1.02-2.20),33,91.67,1.95 (1.57-2.33),2.39,3.19
GABA like neurons 14,3052.0,0.129,41.0,125,6,4.8,3.28 (2.73-3.82),119,95.2,3.35 (3.02-3.68),3.77,8.86
astrocytes 8,1266.0,0.081,50.0,66,7,10.61,2.16 (1.13-3.18),59,89.39,3.38 (2.93-3.82),3.37,2.90
oligodendrocyte progenitor cells 12,143.0,0.5,93.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107.0,0.329,93.0,358,36,10.06,2.20 (1.71-2.70),322,89.94,4.07 (3.88-4.26),18.93,8.41
connective tissue cells 21,106.0,0.301,69.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA),NA,1.33
astrocytes 15,377.0,0.219,86.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38),NA,2.45
oligodendrocytes 16,82.0,0.126,9.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.195,15.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59),NA,3.21
astrocytes 4,752.0,0.172,78.0,96,11,11.46,3.43 (2.31-4.55),85,88.54,3.28 (2.93-3.62),2.65,4.54
oligodendrocytes 0,1186.0,0.15,60.0,300,8,2.67,3.50 (3.01-3.98),292,97.33,3.80 (3.59-4.01),3.88,4.16
microglia 1,1615.0,0.19,99.0,161,31,19.25,2.45 (1.89-3.02),130,80.75,3.46 (3.17-3.76),7.21,5.01
oligodendrocytes 3,1003.0,0.095,49.0,111,5,4.5,3.13 (2.31-3.96),106,95.5,3.31 (2.96-3.65),3.27,4.28
oligodendrocytes 2,804.0,0.11,7.0,84,19,22.62,2.95 (2.09-3.81),65,77.38,2.62 (2.26-2.99),4.18,3.17
