tipo_celular,module_size,SNX30_MM,SNX30_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.208,78.0,19,1,5.26,3.38 (NA-NA),18,94.74,2.47 (1.72-3.22),2.29,3.39
T cells 18,349.0,0.202,56.0,68,12,17.65,2.96 (1.86-4.06),56,82.35,4.79 (4.20-5.38),2.87,3.41
astrocytes 5,165.0,0.091,3.0,51,2,3.92,5.72 (4.51-6.93),49,96.08,5.33 (4.63-6.03),2.05,2.99
oligodendrocyte progenitor cells 7,229.0,0.194,50.0,45,1,2.22,5.19 (NA-NA),44,97.78,5.00 (4.36-5.63),2.73,5.42
GABA neurons expressing GLU receptors 22,567.0,0.177,44.0,16,4,25.0,2.47 (2.02-2.92),12,75.0,1.77 (0.87-2.68),1.54,4.33
GLU like neurons 17,637.0,0.071,8.0,91,16,17.58,1.75 (1.06-2.45),75,82.42,5.41 (4.98-5.84),3.93,2.87
da like neurons 11,145.0,0.458,98.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,228.0,0.107,16.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85),1.93,2.82
GABA like neurons 14,2090.0,0.123,28.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,771.0,0.245,74.0,48,2,4.17,3.56 (-1.88-9.00),46,95.83,4.48 (3.72-5.24),1.47,3.22
oligodendrocyte progenitor cells 12,708.0,0.168,71.0,25,6,24.0,4.40 (1.71-7.08),19,76.0,2.39 (1.49-3.29),2.21,2.64
oligodendrocytes 10,1277.0,0.105,49.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.049,16.0,96,11,11.46,3.10 (2.35-3.84),85,88.54,3.70 (3.19-4.20),3.04,3.89
oligodendrocytes 16,71.0,0.183,48.0,1,0,0.0,NA,1,100.0,3.52 (NA-NA),NA,1.65
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,44.0,0.294,54.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25),NA,2.60
astrocytes 4,1807.0,0.123,15.0,104,12,11.54,2.40 (1.42-3.38),92,88.46,2.92 (2.63-3.21),8.51,4.99
oligodendrocytes 0,1186.0,0.171,87.0,300,13,4.33,4.86 (3.83-5.89),287,95.67,3.74 (3.53-3.94),3.10,4.20
microglia 1,346.0,0.154,55.0,43,2,4.65,3.95 (2.83-5.06),41,95.35,3.76 (3.22-4.29),4.54,4.48
oligodendrocytes 3,681.0,0.126,74.0,87,9,10.34,1.87 (0.92-2.81),78,89.66,2.67 (2.40-2.95),4.34,4.23
oligodendrocytes 2,921.0,0.136,46.0,200,16,8.0,3.99 (3.15-4.83),184,92.0,3.59 (3.31-3.87),3.69,3.44
