tipo_celular,module_size,PRPF19_MM,PRPF19_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.135,37.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31),NA,4.34
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,296.0,0.165,39.0,251,1,0.4,3.22 (NA-NA),250,99.6,4.07 (3.83-4.31),1.83,6.17
GABA neurons expressing GLU receptors 22,703.0,0.174,43.0,23,3,13.04,1.84 (1.08-2.60),20,86.96,2.13 (1.31-2.95),2.39,4.16
GLU like neurons 17,1316.0,0.16,78.0,101,6,5.94,3.03 (2.61-3.45),95,94.06,3.05 (2.68-3.43),3.02,3.06
da like neurons 11,1220.0,0.224,64.0,410,23,5.61,3.14 (2.69-3.59),387,94.39,4.34 (4.14-4.54),9.14,7.42
GABA neurons expressing GABA receptors 13,357.0,0.155,47.0,237,1,0.42,3.34 (NA-NA),236,99.58,4.41 (4.18-4.65),6.42,4.17
endothelial cells 9,338.0,0.144,57.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,358.0,0.018,2.0,31,1,3.23,2.80 (NA-NA),30,96.77,2.34 (1.90-2.79),2.60,3.87
GABA like neurons 14,2402.0,0.332,72.0,455,55,12.09,2.75 (2.34-3.15),400,87.91,4.65 (4.46-4.84),15.94,7.86
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.06,23.0,32,15,46.88,1.99 (1.28-2.70),17,53.12,4.50 (3.37-5.63),3.05,2.20
oligodendrocytes 10,806.0,0.204,64.0,261,4,1.53,2.35 (1.49-3.21),257,98.47,4.41 (4.16-4.65),6.88,6.05
connective tissue cells 21,301.0,0.343,44.0,158,9,5.7,2.73 (1.78-3.68),149,94.3,4.39 (4.01-4.77),8.53,6.98
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,313.0,0.224,53.0,291,8,2.75,2.97 (2.12-3.82),283,97.25,4.38 (4.15-4.60),6.39,3.74
da neurons 6,300.0,0.171,54.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,125.0,0.428,92.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.101,23.0,238,24,10.08,3.35 (2.67-4.02),214,89.92,3.67 (3.43-3.90),6.39,4.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.091,35.0,345,20,5.8,3.30 (2.83-3.78),325,94.2,4.36 (4.14-4.58),6.90,5.62
oligodendrocytes 2,1630.0,0.144,54.0,154,2,1.3,3.69 (2.76-4.63),152,98.7,3.24 (2.97-3.51),3.89,3.59
