tipo_celular,module_size,ETFRF1_MM,ETFRF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.099,9.0,353,11,3.12,0.76 (0.41-1.12),342,96.88,4.02 (3.84-4.20),42.49,6.96
GABA neurons expressing GLU receptors 22,703.0,0.263,88.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,1316.0,0.129,55.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220.0,0.066,3.0,410,7,1.71,3.13 (1.97-4.29),403,98.29,4.27 (4.09-4.46),24.27,7.22
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.083,9.0,302,7,2.32,3.08 (1.84-4.31),295,97.68,4.01 (3.78-4.24),26.12,10.29
oligodendrocytes 20,938.0,0.221,85.0,169,8,4.73,2.76 (1.53-4.00),161,95.27,3.52 (3.30-3.74),4.76,5.39
GABA like neurons 14,2402.0,0.159,28.0,455,14,3.08,1.84 (0.94-2.74),441,96.92,4.45 (4.27-4.63),35.67,7.98
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.03,2.0,235,5,2.13,3.91 (3.10-4.71),230,97.87,3.82 (3.58-4.06),9.99,7.56
oligodendrocytes 10,735.0,0.071,30.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,125.0,0.44,99.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,82.0,0.171,47.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,111.0,0.353,77.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.122,22.0,252,15,5.95,1.85 (1.01-2.69),237,94.05,4.28 (4.04-4.52),12.63,7.93
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.069,31.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,526.0,0.192,27.0,213,5,2.35,3.91 (3.10-4.71),208,97.65,3.98 (3.70-4.26),15.03,7.77
