tipo_celular,module_size,CD200_MM,CD200_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.118,24.0,353,40,11.33,2.35 (2.03-2.67),313,88.67,4.16 (3.96-4.35),12.07,7.55
GABA neurons expressing GLU receptors 22,848.0,0.189,42.0,262,24,9.16,4.43 (3.48-5.38),238,90.84,4.12 (3.87-4.37),4.63,4.05
GLU like neurons 17,489.0,0.08,12.0,42,4,9.52,5.45 (3.25-7.65),38,90.48,6.05 (5.47-6.63),5.16,3.01
da like neurons 11,1220.0,0.118,24.0,410,12,2.93,3.83 (2.70-4.96),398,97.07,4.27 (4.08-4.45),10.77,7.42
GABA neurons expressing GABA receptors 13,265.0,0.341,94.0,78,9,11.54,3.84 (2.71-4.97),69,88.46,4.45 (4.01-4.89),4.67,4.21
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,275.0,0.04,7.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402.0,0.319,70.0,455,17,3.74,3.51 (2.44-4.57),438,96.26,4.39 (4.20-4.57),11.77,8.72
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.083,56.0,276,36,13.04,2.06 (1.78-2.34),240,86.96,3.85 (3.62-4.08),6.61,4.88
oligodendrocytes 10,806.0,0.123,36.0,261,13,4.98,4.51 (3.02-6.00),248,95.02,4.36 (4.11-4.60),6.79,6.03
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,85.0,0.186,36.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.117,34.0,159,7,4.4,6.34 (6.25-6.43),152,95.6,4.25 (3.93-4.56),3.20,3.75
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,309.0,0.145,62.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.123,72.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,348.0,0.193,48.0,114,18,15.79,4.63 (3.99-5.27),96,84.21,5.23 (4.75-5.72),4.64,4.35
