tipo_celular,module_size,DUSP22_MM,DUSP22_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.147,39.0,32,1,3.12,NA,31,96.88,3.72 (2.95-4.50),1.55,3.68
T cells 18,610.0,0.072,4.0,98,24,24.49,1.63 (1.23-2.03),74,75.51,3.65 (3.33-3.96),4.96,3.74
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.051,1.0,297,2,0.67,3.12 (1.95-4.29),295,99.33,3.68 (3.47-3.88),3.92,5.53
oligodendrocytes 20,253.0,0.197,68.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.097,27.0,358,58,16.2,2.18 (1.87-2.48),300,83.8,4.32 (4.13-4.51),19.62,7.51
connective tissue cells 21,111.0,0.34,84.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,78.0,0.349,98.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,124.0,0.278,30.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.122,66.0,238,15,6.3,2.55 (2.10-2.99),223,93.7,3.72 (3.49-3.96),7.33,4.87
microglia 1,1615.0,0.127,73.0,161,42,26.09,2.02 (1.70-2.35),119,73.91,3.84 (3.54-4.13),7.33,4.76
oligodendrocytes 3,681.0,0.055,12.0,87,43,49.43,2.40 (2.07-2.74),44,50.57,2.78 (2.35-3.21),3.85,4.63
oligodendrocytes 2,1630.0,0.119,13.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
