tipo_celular,module_size,PHKA1_MM,PHKA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.179,95.0,166,12,7.23,2.47 (1.46-3.48),154,92.77,3.48 (3.22-3.73),4.37,4.56
oligodendrocyte progenitor cells 7,200.0,0.187,54.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,400.0,0.193,47.0,24,4,16.67,1.38 (-0.05-2.81),20,83.33,2.31 (1.78-2.84),7.39,2.82
GLU like neurons 17,489.0,0.089,17.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64),2.25,3.24
da like neurons 11,209.0,0.111,15.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.193,89.0,125,2,1.6,3.67 (2.70-4.65),123,98.4,3.35 (3.02-3.68),6.95,8.64
astrocytes 8,727.0,0.08,31.0,29,1,3.45,3.17 (NA-NA),28,96.55,2.33 (1.82-2.84),2.85,3.57
oligodendrocyte progenitor cells 12,708.0,0.034,3.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.121,79.0,105,13,12.38,2.24 (1.25-3.22),92,87.62,3.36 (3.02-3.71),6.33,3.65
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,190.0,0.274,55.0,7,3,42.86,3.92 (3.20-4.64),4,57.14,5.76 (4.31-7.21),2.00,1.67
astrocytes 4,255.0,0.242,85.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
