tipo_celular,module_size,ECSIT_MM,ECSIT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.076,7.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,823.0,0.092,5.0,23,1,4.35,3.78 (NA-NA),22,95.65,2.31 (1.57-3.06),1.46,3.51
GLU like neurons 17,1247.0,0.145,59.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.071,7.0,133,13,9.77,1.79 (1.07-2.52),120,90.23,3.44 (3.12-3.77),5.82,3.98
GABA neurons expressing GABA receptors 13,88.0,0.236,88.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.146,44.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.083,51.0,66,18,27.27,1.76 (1.21-2.31),48,72.73,3.90 (3.49-4.31),4.38,2.42
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,208.0,0.031,8.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.062,6.0,235,11,4.68,2.64 (2.21-3.06),224,95.32,4.07 (3.81-4.33),10.02,4.14
astrocytes microglia 23,103.0,0.427,98.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.111,6.0,104,11,10.58,1.97 (1.24-2.70),93,89.42,2.98 (2.68-3.27),15.62,4.19
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
