tipo_celular,module_size,HSPA5_MM,HSPA5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.505,100.0,97,14,14.43,4.90 (3.84-5.97),83,85.57,2.73 (2.35-3.10),4.15,5.03
T cells 18,282.0,0.274,84.0,241,18,7.47,3.54 (2.95-4.14),223,92.53,4.09 (3.83-4.36),2.74,4.47
astrocytes 5,423.0,0.253,88.0,80,7,8.75,5.02 (3.16-6.88),73,91.25,3.22 (2.75-3.68),2.68,5.24
oligodendrocyte progenitor cells 7,628.0,0.338,93.0,164,25,15.24,5.00 (4.31-5.70),139,84.76,3.91 (3.55-4.27),4.99,7.98
GABA neurons expressing GLU receptors 22,487.0,0.454,98.0,73,5,6.85,2.42 (1.11-3.74),68,93.15,2.78 (2.38-3.19),2.14,7.71
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.352,88.0,410,85,20.73,4.06 (3.65-4.47),325,79.27,4.30 (4.09-4.51),9.25,7.06
GABA neurons expressing GABA receptors 13,357.0,0.228,76.0,237,24,10.13,3.78 (3.17-4.38),213,89.87,4.49 (4.24-4.74),4.10,4.19
endothelial cells 9,385.0,0.299,95.0,275,112,40.73,3.01 (2.65-3.37),163,59.27,4.76 (4.47-5.06),7.43,4.82
oligodendrocytes 20,358.0,0.144,46.0,31,8,25.81,3.47 (3.15-3.78),23,74.19,1.95 (1.48-2.43),1.93,4.49
GABA like neurons 14,2402.0,0.472,86.0,455,96,21.1,3.38 (2.91-3.84),359,78.9,4.60 (4.41-4.79),14.05,7.44
astrocytes 8,520.0,0.168,65.0,288,61,21.18,3.53 (3.11-3.94),227,78.82,4.33 (4.11-4.55),7.75,3.86
oligodendrocyte progenitor cells 12,1049.0,0.186,82.0,235,28,11.91,4.93 (4.13-5.72),207,88.09,3.70 (3.46-3.93),7.06,7.69
oligodendrocytes 10,735.0,0.292,99.0,277,13,4.69,6.50 (6.00-6.99),264,95.31,3.79 (3.55-4.03),3.26,9.23
connective tissue cells 21,301.0,0.476,75.0,158,23,14.56,4.27 (3.31-5.23),135,85.44,4.25 (3.85-4.64),4.21,7.55
astrocytes 15,1768.0,0.306,100.0,105,44,41.9,2.41 (2.07-2.76),61,58.1,3.82 (3.35-4.29),5.28,3.04
oligodendrocytes 16,92.0,0.203,47.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.256,99.0,122,61,50.0,3.14 (2.73-3.55),61,50.0,5.22 (4.65-5.79),4.45,2.52
astrocytes microglia 23,110.0,0.32,57.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.307,87.0,95,21,22.11,3.36 (2.42-4.31),74,77.89,3.37 (2.90-3.84),2.98,5.11
oligodendrocytes 0,546.0,0.163,46.0,252,65,25.79,3.14 (2.59-3.70),187,74.21,4.45 (4.20-4.70),10.69,7.35
microglia 1,406.0,0.318,70.0,278,12,4.32,5.52 (4.54-6.50),266,95.68,4.31 (4.03-4.59),1.90,6.95
oligodendrocytes 3,457.0,0.134,60.0,345,73,21.16,3.70 (3.32-4.09),272,78.84,4.44 (4.20-4.68),7.63,5.17
oligodendrocytes 2,528.0,0.316,87.0,175,54,30.86,4.46 (3.84-5.08),121,69.14,4.35 (3.93-4.77),6.49,3.79
