tipo_celular,module_size,TCHP_MM,TCHP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.09,7.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,282.0,0.186,62.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,932.0,0.09,22.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.134,48.0,353,26,7.37,2.07 (1.44-2.70),327,92.63,4.07 (3.88-4.25),20.74,7.06
GABA neurons expressing GLU receptors 22,703.0,0.232,77.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,265.0,0.065,4.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.064,5.0,74,6,8.11,4.64 (3.26-6.03),68,91.89,5.58 (4.98-6.17),4.51,3.56
oligodendrocytes 20,348.0,0.225,80.0,33,1,3.03,2.74 (NA-NA),32,96.97,2.73 (2.23-3.24),1.87,3.43
GABA like neurons 14,2402.0,0.106,10.0,455,13,2.86,1.64 (0.88-2.39),442,97.14,4.45 (4.27-4.63),30.85,8.19
astrocytes 8,260.0,0.101,36.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303.0,0.044,10.0,276,16,5.8,2.78 (1.85-3.71),260,94.2,3.60 (3.37-3.82),4.20,5.17
oligodendrocytes 10,1277.0,0.079,30.0,27,2,7.41,6.33 (NA-NA),25,92.59,5.35 (4.44-6.26),1.41,6.77
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,338.0,0.03,1.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,74.0,0.149,21.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,78.0,0.327,52.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54),NA,4.03
astrocytes 4,1807.0,0.147,55.0,104,4,3.85,0.81 (0.05-1.57),100,96.15,2.95 (2.67-3.23),14.72,5.02
oligodendrocytes 0,2078.0,0.097,17.0,238,3,1.26,1.22 (-0.77-3.20),235,98.74,3.66 (3.44-3.88),7.14,5.00
microglia 1,1615.0,0.13,77.0,161,15,9.32,1.69 (0.73-2.64),146,90.68,3.46 (3.20-3.72),11.41,4.82
oligodendrocytes 3,357.0,0.1,55.0,127,1,0.79,5.19 (NA-NA),126,99.21,3.10 (2.77-3.43),2.48,4.25
oligodendrocytes 2,921.0,0.135,44.0,200,5,2.5,4.35 (2.60-6.11),195,97.5,3.60 (3.33-3.87),2.34,3.49
