tipo_celular,module_size,MRFAP1_MM,MRFAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,393.0,0.101,12.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.242,81.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,487.0,0.413,94.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.386,91.0,410,1,0.24,0.55 (NA-NA),409,99.76,4.26 (4.07-4.45),11.45,7.51
GABA neurons expressing GABA receptors 13,417.0,0.134,29.0,213,12,5.63,1.30 (0.75-1.86),201,94.37,3.95 (3.71-4.18),8.29,9.77
endothelial cells 9,916.0,0.152,33.0,302,0,0.0,NA,302,100.0,3.98 (3.75-4.21),NA,10.65
oligodendrocytes 20,938.0,0.193,78.0,169,1,0.59,0.55 (NA-NA),168,99.41,3.50 (3.29-3.72),3.86,5.37
GABA like neurons 14,2402.0,0.513,90.0,455,12,2.64,1.44 (0.77-2.11),443,97.36,4.45 (4.27-4.63),28.13,8.31
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.058,24.0,276,8,2.9,2.14 (1.48-2.81),268,97.1,3.60 (3.38-3.82),25.62,4.50
oligodendrocytes 10,806.0,0.295,78.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,102.0,0.331,76.0,5,0,0.0,NA,5,100.0,1.38 (1.02-1.75),NA,1.41
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,313.0,0.137,15.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57),1.33,3.82
da neurons 6,729.0,0.149,48.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,125.0,0.453,98.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77),NA,2.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.226,74.0,252,10,3.97,1.15 (0.58-1.72),242,96.03,4.25 (4.01-4.49),9.97,8.14
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.243,88.0,345,0,0.0,NA,345,100.0,4.27 (4.06-4.48),NA,5.69
oligodendrocytes 2,528.0,0.388,94.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73),NA,4.62
